,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
0,richard krajicek,R,196.0,44.0,31.0,0.38386131280927194,0.25402287106832555,0.45506803802258333,0.6503925102011228,0.8764714845463508,0.5508572799681889,68.72727272727273,0.6796073377191686,191.9,72.7%,44.2%,25.0%,50.0%,15.0
1,thomas enqvist,R,190.0,41.0,23.0,0.38756095850584843,0.26049704061213014,0.42124393221954204,0.4816572356385842,0.7526767947499654,0.5441795745795627,71.41463414634147,0.6215668693644562,217.4,56.1%,42.5%,71.4%,47.4%,88.0
2,jonathan stark,R,188.0,48.0,25.0,0.35428232666157083,0.18507011808642237,0.41222492784992776,0.6030022555274104,0.8315901137912007,0.5949414300468144,101.39583333333333,0.6691855907097298,203.8,64.8%,35.0%,40.0%,64.0%,38.0
3,todd woodbridge,R,178.0,25.0,9.0,0.36830094939681957,0.20619756191520897,0.4674859117490696,0.49868797215856026,0.69010247813189,0.5817511137913554,81.8,0.5827734841560511,195.1,58.7%,42.0%,50.0%,44.4%,54.0
4,david wheaton,R,193.0,40.0,23.0,0.35849975124031347,0.2299350403018881,0.3899253524253525,0.6064420301920301,0.8256442302901703,0.5892238640057681,59.75,0.6491380480446239,217.4,65.5%,38.3%,57.1%,56.5%,54.0
5,alexander volkov,L,188.0,62.0,32.0,0.3775600890700381,0.24962627814333085,0.45871699984603204,0.5410460428249801,0.7325758462744131,0.5021119387578507,91.04838709677419,0.6024273918500869,214.3,60.1%,42.1%,64.5%,47.6%,18.0
6,jonas svensson,R,188.0,25.0,8.0,0.37040972951015194,0.24520196470196468,0.4263276592688358,0.533642942025295,0.6611314536856332,0.5783963392725133,76.68,0.5729729065268252,,,,,,33.0
7,markus naewie,R,190.0,3.0,1.0,0.32676343264578556,0.13257575757575757,0.3,0.5542483660130719,0.5142857142857142,0.7302659802659802,49.333333333333336,0.5048083798083799,,,,,,77.0
8,bernd karbacher,R,185.0,55.0,32.0,0.3831572501424031,0.2412299459433847,0.40060410713572764,0.5731641371364693,0.7272034826117412,0.5280255594093586,104.12727272727273,0.6066754348234543,255.1,59.8%,41.6%,73.7%,80.0%,57.0
9,nicklas kulti,R,190.0,43.0,19.0,0.36110708942044667,0.21292341379550678,0.40471288027897584,0.5553426547612595,0.7590384802934694,0.5792732282651829,62.651162790697676,0.6221393873556281,175.6,57.1%,38.5%,33.3%,46.7%,46.0
10,mark woodforde,L,188.0,48.0,27.0,0.3940055243688894,0.2547681910273822,0.368818038579068,0.5419137099284158,0.774228357086813,0.5373677639361764,67.1875,0.636560300611195,218.6,61.8%,36.1%,77.8%,42.9%,28.0
12,magnus larsson,R,193.0,51.0,31.0,0.3725896634030003,0.24013766831767436,0.39155384375972613,0.5871732026143792,0.849631149862457,0.6545685677226473,75.58823529411765,0.6756411513642888,201.9,65.9%,38.9%,62.5%,34.6%,39.0
13,christian bergstrom,R,180.0,24.0,11.0,0.3903482371543839,0.237642797017797,0.4226846070596071,0.5980703113249551,0.7425696410071412,0.5672524489373615,77.25,0.5983716227642462,,,,,,52.0
