,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang,atp_points
0,richard krajicek,R,196.0,60.0,45.0,0.37468244355602814,0.2346552235890472,0.4090897065897065,0.528596681096681,0.8863978859189771,0.5923851380799727,57.833333333333336,0.7066871573407136,243.7,0.667,0.414,0.68,0.6759999999999999,10.0,2548.0
1,thomas enqvist,R,190.0,50.0,35.0,0.39195988230942846,0.2820472584877619,0.44894951617010426,0.5445548063048065,0.8274637375307724,0.5564247682265169,63.36,0.6623148277460521,215.2,0.62,0.45399999999999996,0.7140000000000001,0.364,22.0,1500.0
2,jonathan stark,R,188.0,13.0,2.0,0.3172437009248533,0.1357066010912165,0.3966290120136274,0.5260401991171222,0.727905427905428,0.5809427952568493,47.23076923076923,0.6049318043951583,,,,,,266.0,144.0
3,todd woodbridge,R,178.0,43.0,20.0,0.3918602597638689,0.2652106565365259,0.4546787078250826,0.5260591798382498,0.6626219919311575,0.592447666251798,76.81395348837209,0.5731360922224661,221.0,0.563,0.457,0.857,0.33299999999999996,65.0,722.0
4,david wheaton,R,193.0,10.0,2.0,0.36008615247808085,0.17243522559312036,0.26123931623931623,0.6036363636363636,0.7007142857142856,0.5641120685291781,43.4,0.5902213761414662,,,,,,229.0,189.0
8,bernd karbacher,R,185.0,9.0,3.0,0.3990727984654549,0.24885296448763944,0.31265432098765433,0.5694811361478028,0.7038011695906433,0.5722907086268596,49.44444444444444,0.5820498325105711,,,,,,125.0,382.0
9,nicklas kulti,R,190.0,5.0,2.0,0.2996761439618582,0.04615384615384614,0.12,0.711111111111111,0.8557264957264957,0.5161491700622135,45.2,0.6588248592446494,,,,,,290.0,125.0
10,mark woodforde,L,188.0,48.0,25.0,0.37734424958579993,0.245482356695592,0.446290225977726,0.5818692201045143,0.7745504206441706,0.5440652515530515,93.5,0.6203780495689893,185.7,0.598,0.426,0.444,0.389,58.0,773.0
12,magnus larsson,R,193.0,33.0,19.0,0.3688938790069407,0.21407919734471698,0.36760397260326905,0.5830687830687831,0.8568202045184145,0.6239574814257135,69.72727272727273,0.6734304303175696,185.4,0.67,0.363,0.5710000000000001,0.25,43.0,930.0
14,kenneth carlsen,L,190.0,43.0,20.0,0.35817373232238575,0.21351078773787385,0.3961929220650152,0.6642250191668799,0.8172790901389072,0.5470574422571278,96.51162790697674,0.6512548990120209,193.7,0.67,0.396,0.45,0.42100000000000004,83.0,606.0
15,todd martin,R,198.0,63.0,43.0,0.3843429579379923,0.24065085371107775,0.41072014405347734,0.5773256505399363,0.8429898750350612,0.6200512409402436,54.41269841269841,0.6725157883283175,230.4,0.625,0.414,0.632,0.633,16.0,1774.0
17,cedric pioline,R,188.0,65.0,38.0,0.3802131685684023,0.2485633617708905,0.4594043563274331,0.5600369389944287,0.7632537488637129,0.5840836678742092,70.3076923076923,0.6297769156360586,209.0,0.5870000000000001,0.425,0.545,0.5329999999999999,18.0,1710.0
18,sandon stolle,R,193.0,12.0,3.0,0.36999254394038433,0.20522879897879898,0.2853200040700041,0.4642195767195767,0.7473998223998223,0.6128087423332289,66.08333333333333,0.6277715336162967,,,,,,238.0,179.0
19,richard fromberg,R,196.0,57.0,26.0,0.37114030284964916,0.22087918629388406,0.39078607437740565,0.581749463986306,0.8166571698513554,0.5939280247765106,105.43859649122807,0.6509928437769785,167.8,0.628,0.38299999999999995,0.41700000000000004,0.25,40.0,937.0
20,magnus gustafsson,R,185.0,58.0,37.0,0.42194088831003035,0.3219521990766786,0.44138066407336174,0.5549166773051155,0.793254038688142,0.6236478589794174,62.775862068965516,0.6462232598792937,210.0,0.598,0.441,0.632,0.429,32.0,1187.0
21,marcos ondruska,R,183.0,10.0,1.0,0.33674555533956463,0.18854700854700854,0.45910256410256406,0.5929166666666668,0.578497335997336,0.5949695599005276,54.1,0.5232589773525802,,,,,,142.0,329.0
22,sergi bruguera,R,188.0,35.0,10.0,0.37633591282076306,0.25185695257123825,0.4082137703566274,0.4802097968373952,0.6196126888984033,0.547146682463594,54.51428571428571,0.5586730345214379,194.0,0.544,0.43799999999999994,0.33299999999999996,0.625,132.0,358.0
24,karsten braasch,L,180.0,5.0,1.0,0.2995854047623959,0.09157894736842105,0.3433333333333334,0.5857142857142856,0.7599301283511809,0.5803597238260076,48.8,0.5978012067135163,,,,,,271.0,140.0
25,gianluca pozzi,L,180.0,49.0,22.0,0.37653155108097464,0.2353650248328646,0.3830185121001447,0.5709799271023762,0.7320220306605913,0.4732247259997033,73.0204081632653,0.6010855750797557,200.0,0.607,0.42200000000000004,0.5,0.47100000000000003,61.0,730.0
26,diego nargiso,L,188.0,7.0,1.0,0.35094244412642933,0.16447124304267163,0.3125850340136055,0.44307359307359306,0.7198832913118628,0.5324206099589054,47.714285714285715,0.6128040302141119,,,,,,128.0,371.0
27,jan siemerink,L,183.0,60.0,38.0,0.35489444486892346,0.1917862807403515,0.3759105817929347,0.6257811864061863,0.8566781680035312,0.5769497246737271,76.43333333333334,0.6663716121368889,222.2,0.705,0.368,0.682,0.467,19.0,1669.0
28,boris becker,R,190.0,24.0,14.0,0.35825468294253876,0.18909521510624452,0.3307073713323713,0.5496362433862434,0.8570088850419734,0.529787055143243,59.583333333333336,0.6792570083031642,,,,,,69.0,688.0
30,javier sanchez,R,178.0,30.0,8.0,0.3558704653844237,0.20023462104344456,0.3368446368446368,0.5050141688376982,0.6429596792096792,0.6632926173017738,69.26666666666667,0.5709049428053238,173.5,0.539,0.36200000000000004,0.16699999999999998,0.667,168.0,288.0
31,marc rosset,R,201.0,53.0,26.0,0.3613589363862146,0.19647996038699098,0.3379689754689754,0.4401014865637507,0.7767883004411129,0.5438040866826857,79.83018867924528,0.6422374947434256,205.4,0.551,0.361,0.6,0.542,31.0,1201.0
32,andrei cherkasov,R,180.0,2.0,0.0,0.3645833333333333,0.3,0.5277777777777778,0.47474747474747475,0.4444444444444444,0.5229653505237711,41.5,0.47804190169218375,,,,,,164.0,290.0
33,gilbert schaller,R,180.0,3.0,1.0,0.4398819462011974,0.3148148148148148,0.5333333333333333,0.32222222222222224,0.5344729344729345,0.7988636363636363,70.0,0.5528263403263404,,,,,,302.0,119.0
35,tomas carbonell,R,178.0,10.0,5.0,0.4042099104042536,0.28570710335416216,0.38766622266622264,0.5495433732933732,0.7020481969011382,0.6243151393766677,47.3,0.5802949295587856,,,,,,167.0,288.0
37,goran ivanisevic,L,193.0,71.0,44.0,0.3501685241549798,0.19510280597540225,0.4140880246514048,0.5806325452141524,0.850418574252678,0.5417876488346208,70.64788732394366,0.6696175931240823,207.6,0.684,0.371,0.455,0.5660000000000001,12.0,2137.0
40,richey reneberg,R,180.0,24.0,11.0,0.3868376119133892,0.2463295963295963,0.4316821488696488,0.5673951048951048,0.7376824487241155,0.5680872125028326,92.95833333333333,0.6089348684736879,,,,,,154.0,298.0
42,fabrice santoro,R,178.0,53.0,26.0,0.395462981023305,0.26538343060783803,0.41607075286501527,0.5779366231253024,0.7207318406111636,0.5419759074747559,58.905660377358494,0.5984033559412921,214.6,0.607,0.396,0.5,0.643,41.0,935.0
43,guillaume raoux,R,180.0,50.0,24.0,0.34413350443255586,0.1719669336772917,0.36995460095460103,0.6161916694416696,0.7838463678975188,0.5572097927867043,75.48,0.6302060750373097,212.9,0.627,0.371,0.41200000000000003,0.7190000000000001,53.0,803.0
44,rodolphe gilbert,L,183.0,2.0,1.0,0.32817725752508364,0.15336134453781514,0.43333333333333335,0.5606060606060606,0.6529411764705882,0.5261437908496731,38.5,0.5510893246187364,,,,,,185.0,249.0
45,jeff tarango,L,180.0,52.0,24.0,0.40375661506165905,0.290398529637783,0.454786212718905,0.5110628153897386,0.737463845666433,0.5789685752055121,104.01923076923077,0.6141343395959764,168.2,0.57,0.41100000000000003,0.33299999999999996,0.368,73.0,675.0
46,paul haarhuis,R,188.0,38.0,18.0,0.360296162505871,0.2222607500858275,0.42048791851423434,0.56083675096833,0.7758362659871947,0.5677775493696824,87.5,0.6264752625555423,218.1,0.627,0.47700000000000004,0.615,0.462,74.0,674.0
47,olivier delaitre,R,170.0,10.0,4.0,0.37430839716238806,0.2720454545454546,0.49190476190476196,0.41118464868464866,0.669312865497076,0.5785605459810471,55.0,0.5923542871648231,,,,,,186.0,248.0
48,leonardo lavalle,L,188.0,2.0,1.0,0.41055900621118013,0.2727272727272727,0.30952380952380953,0.6125,0.75,0.6905529953917051,60.0,0.6101382488479262,,,,,,400.0,74.0
50,malivai washington,R,180.0,17.0,7.0,0.3707436116744612,0.23131313131313133,0.4600458365164247,0.5925547491723961,0.7421724552798722,0.5314540759945371,48.529411764705884,0.6026144697785131,,,,,,178.0,258.0
52,marcelo filippini,R,178.0,20.0,5.0,0.36076317363633925,0.1880905073187682,0.3880120002546473,0.5819497332732626,0.6274720997601433,0.6626197730299404,75.9,0.5646308679820279,,,,,,135.0,351.0
58,brett steven,R,185.0,35.0,16.0,0.38047179186984253,0.24709538986739332,0.44655158333729766,0.6407727986299415,0.7794520059281228,0.6492844933538553,79.22857142857143,0.6199159699118002,199.7,0.637,0.419,0.556,0.385,92.0,528.0
60,michael chang,R,175.0,51.0,34.0,0.4160538062454477,0.3086328412983493,0.46939251040491925,0.5963880442254146,0.8087341587642474,0.5396316559387805,75.3921568627451,0.6405224020423725,197.7,0.626,0.43,0.45,0.47100000000000003,29.0,1242.0
65,francisco roig,R,175.0,5.0,2.0,0.4244781556971877,0.3417338217338218,0.5256988625409678,0.4590909090909091,0.6056959706959707,0.5564728192351338,27.4,0.5430055571296009,,,,,,333.0,100.0
66,pete sampras,R,185.0,75.0,58.0,0.39075104134543487,0.2723840138189982,0.44095700595700577,0.5231255411255411,0.8802238325600551,0.5844128633618387,61.693333333333335,0.6988258419091031,227.9,0.637,0.413,0.529,0.7,1.0,3915.0
67,andrei medvedev,R,193.0,44.0,22.0,0.40034411379964485,0.2760492616063613,0.4583394824872098,0.5094705168568805,0.7628303561529006,0.5875960436693697,70.13636363636364,0.6307835744691894,182.7,0.596,0.435,0.45,0.34600000000000003,62.0,725.0
70,arnaud boetsch,R,183.0,6.0,1.0,0.3360562326826555,0.1642977392977393,0.3582251082251082,0.6166666666666667,0.7523809523809524,0.49074321697114537,40.0,0.6068523030452745,,,,,,305.0,117.0
72,carlos costa,R,183.0,45.0,21.0,0.4118177659250375,0.3163936263446067,0.4655858701937132,0.5250006275496473,0.7209304820089135,0.5549436217828344,96.77777777777777,0.5924984069718369,179.2,0.5920000000000001,0.425,0.313,0.462,67.0,710.0
74,wayne ferreira,R,185.0,56.0,32.0,0.3757411596372659,0.2318026419253753,0.3767956497867212,0.518810781888513,0.7683333223486917,0.5382783712323392,58.660714285714285,0.6286087016019138,210.6,0.58,0.4,0.65,0.47600000000000003,26.0,1285.0
75,thomas muster,L,180.0,51.0,32.0,0.4027008940109159,0.30903708687354653,0.44189007224656485,0.5586397198853946,0.7763006545987787,0.5922020887165705,65.03921568627452,0.6284992357957899,211.5,0.62,0.436,0.7859999999999999,0.273,25.0,1344.0
78,jim courier,R,185.0,39.0,19.0,0.3608499056967008,0.21528119305566315,0.3660367410367411,0.5719199903410431,0.7916779012754248,0.643782123503545,68.3076923076923,0.6460718856711568,205.4,0.627,0.371,0.5,0.556,77.0,635.0
79,petr korda,L,190.0,54.0,34.0,0.4096450505545572,0.3026307830482724,0.46871440711309986,0.542148818864505,0.7693920026984143,0.5112979794755362,56.05555555555556,0.6216711381135523,228.1,0.5660000000000001,0.44799999999999995,0.667,0.6,13.0,2114.0
85,david prinosil,R,185.0,37.0,13.0,0.3429248725766721,0.17571051355881076,0.3771318396318396,0.4787430287430287,0.7666769733770674,0.5115157865180721,52.78378378378378,0.626139615378503,194.9,0.541,0.395,0.5329999999999999,0.48,78.0,633.0
88,stephane simian,L,193.0,1.0,0.0,0.3974358974358974,0.11111111111111116,0.1111111111111111,0.5555555555555556,0.5,0.574468085106383,55.0,0.5319148936170213,,,,,,370.0,85.0
92,stefano pescosolido,R,185.0,7.0,2.0,0.37581521499247117,0.2472261656472183,0.3011904761904762,0.4898216862502577,0.6875795257374205,0.5522944096903583,55.0,0.5875551566013547,,,,,,183.0,253.0
93,andre agassi,R,180.0,76.0,61.0,0.43868385924925957,0.3604276789119217,0.4563781924559788,0.604151966137092,0.8666788661677556,0.6427955166583815,69.60526315789474,0.6797431895092324,225.8,0.667,0.408,0.583,0.6,6.0,2879.0
94,jaime oncins,R,196.0,2.0,0.0,0.37543859649122807,0.19191919191919193,0.41666666666666663,0.38095238095238093,0.5777777777777777,0.5121457489878543,71.5,0.5096153846153846,,,,,,223.0,197.0
96,renzo furlan,R,175.0,7.0,1.0,0.3328310187901931,0.18873348873348875,0.4578231292517007,0.5050505050505051,0.6306360306360306,0.5522764751067426,48.857142857142854,0.5462845801593771,,,,,,144.0,324.0
98,francisco clavet,L,183.0,68.0,42.0,0.41064731390436815,0.3157774561180132,0.48900616206368736,0.5556926937441644,0.7776941928849593,0.636953863300437,94.76470588235294,0.6304676477585404,184.6,0.593,0.42700000000000005,0.522,0.304,30.0,1216.0
100,alex corretja,R,180.0,72.0,53.0,0.40882374819364187,0.2914645203104703,0.4354771846612661,0.5580675963899648,0.8014471650807433,0.5537421099245091,54.861111111111114,0.6413473568962718,239.4,0.63,0.402,0.7859999999999999,0.5760000000000001,3.0,3398.0
103,alex obrien,R,185.0,17.0,5.0,0.34599207201226073,0.18173409635347348,0.38554227395057844,0.5327330397399601,0.748252373347529,0.6525817126125014,53.1764705882353,0.6217170761679928,,,,,,147.0,320.0
105,marc kevin goellner,R,196.0,35.0,10.0,0.30419682787183844,0.13222719356634707,0.29088435374149657,0.5663644292215719,0.7211491780359923,0.48590918743928313,61.628571428571426,0.6046394916455627,,,,,,118.0,403.0
109,alberto berasategui,R,173.0,55.0,31.0,0.40465199384391287,0.3077534282804477,0.44348729553275007,0.4925552831632202,0.7220282215198026,0.7336810544947739,92.96363636363637,0.6012630734536321,217.9,0.5660000000000001,0.44799999999999995,0.643,0.522,21.0,1556.0
116,jason stoltenberg,R,185.0,55.0,32.0,0.4013818594759556,0.2860349439559598,0.44223247340894395,0.5533083968912849,0.7903713266125311,0.5754226535377653,93.7090909090909,0.6474293559066644,191.4,0.635,0.409,0.522,0.348,27.0,1280.0
117,jordi burillo,R,188.0,27.0,9.0,0.35536575695562383,0.18681225522695138,0.3582131859909638,0.4645796590241035,0.7435524180972949,0.5550077046251743,70.11111111111111,0.620698484529675,166.9,0.5670000000000001,0.35200000000000004,0.375,0.375,148.0,317.0
119,grant stafford,R,188.0,28.0,9.0,0.38836354360941583,0.23516378410645325,0.3697346304489161,0.513638246673961,0.6579154137424814,0.5688483008172184,62.285714285714285,0.573394311097216,173.2,0.527,0.37200000000000005,0.33299999999999996,0.5,163.0,290.0
120,younes el aynaoui,R,193.0,7.0,5.0,0.4197830261136713,0.30238095238095236,0.5142006802721089,0.5555555555555556,0.8102564102564103,0.5704981244191478,43.42857142857143,0.679768388293734,,,,,,45.0,894.0
121,slava dosedel,R,183.0,46.0,24.0,0.41991470656952895,0.31789323615590526,0.44784102953775856,0.5766107492620656,0.7165526276574635,0.617763372900903,63.630434782608695,0.595833992957359,194.3,0.598,0.414,0.455,0.47600000000000003,64.0,723.0
122,byron black,R,175.0,59.0,36.0,0.41860389029419504,0.32797129479582116,0.4520264453031939,0.5431901519809136,0.7650593428890118,0.6032900401024206,78.72881355932203,0.6285811583746564,202.4,0.633,0.435,0.556,0.4,28.0,1259.0
