,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
1,thomas enqvist,R,190.0,17.0,6.0,0.3770363976848234,0.2516509922219265,0.4341215973568915,0.6077566320645906,0.7590584012296814,0.5086856144542495,42.705882352941174,0.6110724009634557,133.0,319.0,,,,,
14,kenneth carlsen,L,190.0,41.0,16.0,0.31734370181977395,0.10874369333838489,0.2827305485842071,0.5845784297003811,0.7492185042758933,0.6033460156187018,113.5609756097561,0.616728772997222,66.0,565.0,215.5,0.639,0.293,0.667,0.556
42,fabrice santoro,R,178.0,37.0,18.0,0.4022949339551838,0.2696255242307874,0.3694391774140057,0.5958235537182905,0.7144539923951687,0.5850810757344121,43.810810810810814,0.5938371459810148,58.0,615.0,185.5,0.612,0.34299999999999997,0.5,0.4
93,andre agassi,R,180.0,49.0,38.0,0.4098122139148108,0.29438974227513903,0.43991665930441454,0.6520998731382885,0.857646744816537,0.5910545187006798,51.30612244897959,0.6753238438393159,7.0,2275.0,251.5,0.7,0.426,0.667,0.722
120,younes el aynaoui,R,193.0,10.0,1.0,0.3062179511096796,0.08845238095238095,0.22749999999999998,0.5215323565323565,0.5741125541125541,0.6101946018714313,45.8,0.5274805330354111,228.0,158.0,,,,,
127,greg rusedski,L,193.0,48.0,27.0,0.3160824032836685,0.14700114870151634,0.32403083028083035,0.6702463624338625,0.8504076567495686,0.5747940981325301,77.08333333333333,0.6699456201655587,37.0,840.0,229.8,0.695,0.327,0.8240000000000001,0.452
129,jonas bjorkman,R,183.0,37.0,17.0,0.39272647477466704,0.25630645630645627,0.39319498069498077,0.4883533001180059,0.7338257463257464,0.5432021773914762,80.75675675675676,0.6201831589479881,62.0,588.0,176.9,0.54,0.384,0.3,0.545
140,albert costa,R,180.0,30.0,13.0,0.35699980450539415,0.22639790764790765,0.3990524290524291,0.555161088911089,0.7248453915365682,0.6656314839247683,65.0,0.5962707816873614,116.0,380.0,198.7,0.611,0.42,0.5710000000000001,0.385
144,karol kucera,R,188.0,6.0,1.0,0.32457155219444284,0.11096554517607149,0.48461538461538467,0.5867623604465709,0.5811659101132786,0.5745778355676151,40.5,0.5354087090071276,310.0,105.0,,,,,
148,vincent spadea,R,183.0,47.0,22.0,0.39290373703139575,0.2681129970710696,0.4372828117508967,0.5389755044010364,0.7145180122339073,0.5655637225119897,89.23404255319149,0.6027378853151837,75.0,515.0,207.7,0.5710000000000001,0.43200000000000005,0.43799999999999994,0.636
159,bohdan ulihrach,R,188.0,8.0,1.0,0.26639843627592613,0.0658653846153846,0.20982142857142858,0.5747549019607843,0.6641240703740703,0.6601524232373637,42.5,0.5671388934997085,285.0,119.0,,,,,
162,sjeng schalken,R,193.0,16.0,7.0,0.38700898983366255,0.2604705190642691,0.4060911310911311,0.5608783577533578,0.6857809724997224,0.7138071266325822,48.625,0.5876113597765311,230.0,157.0,,,,,
168,mark philippoussis,R,196.0,16.0,8.0,0.3199154964170571,0.16596207611832609,0.3458942099567099,0.53125,0.8602603738173592,0.6361581577078356,51.4375,0.6799211061365318,171.0,228.0,,,,,
170,jiri novak,R,190.0,46.0,21.0,0.39104146031424275,0.2671433306336843,0.3885991616094927,0.55331682337826,0.7217677119913581,0.6488115079229406,73.21739130434783,0.6051902093561761,48.0,725.0,187.8,0.599,0.395,0.41700000000000004,0.467
172,carlos moya,R,190.0,50.0,31.0,0.37825525768416235,0.2515514828308946,0.46641300366300387,0.6026393606393609,0.8067516392791932,0.5964282733080835,105.04,0.6398768161735549,31.0,940.0,213.0,0.644,0.392,0.529,0.565
179,tim henman,R,185.0,41.0,23.0,0.3823242296725824,0.24846797352177552,0.45604675891619934,0.594862665630241,0.8206546542091736,0.6188089075738538,57.34146341463415,0.6568499983489327,36.0,850.0,187.4,0.616,0.4,0.429,0.429
180,felix mantilla,R,180.0,25.0,11.0,0.40081663533919076,0.31055073684485457,0.4242611832611833,0.5328474037142769,0.713936661377838,0.5860111769787405,76.28,0.600572358101417,117.0,375.0,,,,,
182,nicolas lapentti,R,188.0,23.0,7.0,0.3458543287864839,0.1868233819320776,0.3061601442036225,0.4495388669301713,0.7275158416462765,0.6441691882877525,49.21739130434783,0.613524015469667,95.0,433.0,,,,,
185,thomas johansson,R,180.0,68.0,44.0,0.3687887936547669,0.22762245737187442,0.3899896875999817,0.5081550442060823,0.8505280842283437,0.5736500026455826,85.0,0.6799639124153906,13.0,1645.0,218.0,0.62,0.39899999999999997,0.556,0.605
189,galo blanco,R,173.0,3.0,0.0,0.3688202344918763,0.1643097643097643,0.21338383838383837,0.5185185185185185,0.6276094276094276,0.5918263592584275,82.0,0.55633218554283,315.0,103.0,,,,,
191,dominik hrbaty,R,183.0,62.0,37.0,0.40440325775133334,0.29355299424896447,0.3964255950143047,0.6375055276264954,0.7703720129560285,0.5852691466902521,72.75806451612904,0.6224711310867476,18.0,1490.0,207.8,0.623,0.413,0.5,0.542
193,gustavo kuerten,R,190.0,11.0,3.0,0.33937951415151796,0.17988816738816737,0.29577922077922075,0.5683982683982683,0.6285533910533909,0.5278982976233852,38.36363636363637,0.5522370250741009,291.0,115.0,,,,,
196,sargis sargsian,R,180.0,12.0,3.0,0.3086449899023508,0.12173913043478261,0.3263888888888889,0.46539664039664036,0.4328132515632516,0.5993458988755871,68.0,0.4873615035944791,294.0,114.0,,,,,
197,dennis van scheppingen,R,185.0,2.0,0.0,0.34731296101159115,0.09090909090909088,0.16666666666666666,0.5125,0.696969696969697,0.6630136986301369,79.0,0.5763698630136986,251.0,139.0,,,,,
198,mariano zabaleta,R,183.0,35.0,19.0,0.39023438182028114,0.26750874807044633,0.39617754327838367,0.5877924143525647,0.7721766095715676,0.56772800127712,101.77142857142857,0.6298018726353095,83.0,495.0,200.2,0.6409999999999999,0.39899999999999997,0.5,0.462
200,albert portas,R,188.0,8.0,2.0,0.4104369477619746,0.283982683982684,0.3538690476190476,0.6015567765567764,0.688961038961039,0.561877734052245,50.875,0.593763656150145,119.0,373.0,,,,,
202,tommy haas,R,188.0,50.0,29.0,0.38023451464390157,0.24671788766788766,0.4157427294927294,0.4913742091242092,0.7931094745124154,0.5777788882898646,60.72,0.651551092640878,45.0,755.0,207.8,0.5660000000000001,0.42700000000000005,0.385,0.7
203,nicolas kiefer,R,183.0,52.0,31.0,0.4090673866553688,0.29825251820389115,0.48295805324258,0.5427094241856686,0.7838335929165008,0.534260080352184,66.11538461538461,0.636367199623119,22.0,1250.0,216.5,0.612,0.47,0.5,0.583
204,andrei pavel,R,183.0,44.0,19.0,0.348158995660266,0.1799755762656832,0.3814490599777681,0.5366935036888245,0.7393580071888898,0.6435445188755806,105.86363636363636,0.6098076660114203,80.0,500.0,197.3,0.5870000000000001,0.361,0.563,0.462
208,juan antonio marin,R,175.0,7.0,2.0,0.4168558499000249,0.31360544217687075,0.3131725417439703,0.41079158936301796,0.5749845392702536,0.47516290978655434,58.42857142857143,0.5260157465350505,113.0,395.0,,,,,
210,davide sanguinetti,R,188.0,47.0,23.0,0.36977027514912464,0.22333393707801935,0.3646817721285807,0.5025243856407812,0.7526459675620312,0.5697896466652453,70.70212765957447,0.6179079812111867,44.0,773.0,210.0,0.601,0.397,0.647,0.455
211,justin gimelstob,R,196.0,14.0,6.0,0.3655545556384755,0.19568256789895447,0.3843537414965986,0.548781179138322,0.82853671771739,0.5607099962994828,56.214285714285715,0.6545882996072557,104.0,408.0,,,,,
212,fernando vicente,R,180.0,5.0,0.0,0.3510832555167731,0.17527272727272727,0.33802197802197803,0.6561616161616162,0.6668181818181819,0.5578645347753123,48.2,0.564501118776804,110.0,400.0,,,,,
214,arnaud clement,R,173.0,31.0,12.0,0.359555169250698,0.1950286039346348,0.34722781019595167,0.5240906708999276,0.73528094220683,0.5572315891497062,42.193548387096776,0.6068258238584994,69.0,558.0,213.2,0.581,0.38,0.47100000000000003,0.7
219,jan michael gambill,R,190.0,13.0,3.0,0.3129723500716758,0.09064407814407814,0.22677322677322673,0.5590354090354089,0.7759768009768011,0.562128740956203,77.61538461538461,0.6249455896132287,191.0,204.0,,,,,
222,alex calatrava,R,190.0,17.0,2.0,0.3309436299952674,0.16001759678230268,0.3435727382959217,0.5450428656311009,0.6783879519173638,0.6583800057927125,105.76470588235294,0.5894829410118176,202.0,190.0,,,,,
