,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
14,kenneth carlsen,L,190.0,69.0,25.0,9.0,0.33572546100091166,0.17313054592466354,0.37990476190476186,0.5128210678210678,0.7487831320726059,0.6195615807349252,48.52,0.6155455476569768,206.6,61.7%,35.3%,66.7%,42.9%
42,fabrice santoro,R,178.0,43.0,42.0,19.0,0.3824781804912327,0.25206775152884026,0.4394055679769966,0.5082080419580419,0.7338258101501327,0.5841917954662927,58.476190476190474,0.6004540262267474,181.4,60.3%,43.6%,30.8%,46.7%
93,andre agassi,R,180.0,9.0,18.0,10.0,0.37313787381583274,0.20682514278528774,0.3376794501794502,0.5854957950546185,0.8076488442803448,0.5866042526170303,81.83333333333333,0.6496577197201474,,,,,
120,younes el aynaoui,R,193.0,,3.0,2.0,0.395980595980596,0.2333333333333333,0.3296296296296296,0.5777777777777778,0.8333333333333334,0.5635269846223193,51.666666666666664,0.6703611241136596,,,,,
127,greg rusedski,L,193.0,,21.0,6.0,0.31111416508961665,0.15258015098240665,0.34993987493987494,0.5307359307359307,0.7161871997398312,0.6076741653307958,63.904761904761905,0.5928964752164223,,,,,
129,jonas bjorkman,R,183.0,,31.0,13.0,0.3675123293047963,0.2202694336986062,0.36569043936965645,0.4637892573376444,0.7142580219283875,0.5989020078595944,88.83870967741936,0.6113600015985262,199.8,47.9%,41.9%,50.0%,60.0%
140,albert costa,R,180.0,,4.0,2.0,0.4168257958792763,0.3010912698412698,0.3504689754689755,0.4035714285714286,0.6318181818181818,0.7236035387568406,45.25,0.5617687147757903,,,,,
148,vincent spadea,R,183.0,,45.0,19.0,0.40842675757543506,0.2940211272693212,0.38591463442340623,0.554300976800977,0.7486775116677079,0.5766965062576506,99.15555555555555,0.6123393290768576,163.8,64.1%,38.7%,37.5%,23.5%
159,bohdan ulihrach,R,188.0,,1.0,0.0,0.4473684210526316,0.4,0.2857142857142857,0.45454545454545453,0.45454545454545453,0.5588235294117647,79.0,0.47058823529411764,,,,,
168,mark philippoussis,R,196.0,,18.0,9.0,0.3256622093097479,0.1543722481222481,0.3361111111111111,0.48306878306878315,0.8101969694840538,0.553408972809438,50.05555555555556,0.6494777321027112,,,,,
170,jiri novak,R,190.0,,24.0,11.0,0.36980694967605415,0.22787266518884164,0.3514874530354406,0.5209061771561772,0.7304752777179249,0.644294325618849,50.041666666666664,0.6157534851366788,,,,,
172,carlos moya,R,190.0,,51.0,30.0,0.3674375820478038,0.21476355504037167,0.37664731782378846,0.6350549488957794,0.7956707568822845,0.5848358932890065,84.54901960784314,0.639131382455865,229.6,64.3%,38.6%,66.7%,60.0%
179,tim henman,R,185.0,,51.0,31.0,0.3888706867095779,0.27107584706382754,0.4489417989417989,0.5673225339315308,0.8001430802619308,0.6154618052672376,71.6078431372549,0.6384708585944131,202.7,62.6%,42.8%,38.5%,58.8%
182,nicolas lapentti,R,188.0,,15.0,7.0,0.4006095113210923,0.28816849816849816,0.3896921596921596,0.5492352092352092,0.697838488671822,0.6302934194540296,62.06666666666667,0.6008608712099233,,,,,
185,thomas johansson,R,180.0,,26.0,10.0,0.33292591477279826,0.15795447011510358,0.4005110839386858,0.6181361373669064,0.8198557274801618,0.5664685822955208,75.34615384615384,0.6460828600443322,,,,,
189,galo blanco,R,173.0,,1.0,0.0,0.47674418604651164,0.3846153846153846,0.5555555555555556,0.4444444444444444,0.23076923076923078,0.53125,9.0,0.40625,,,,,
191,dominik hrbaty,R,183.0,,57.0,31.0,0.39207972884044706,0.2728132634479384,0.3888535573712235,0.5924314362394856,0.7376250989355041,0.5570621561789241,75.80701754385964,0.6047981757581329,197.5,57.2%,38.7%,65.2%,36.4%
