,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,rang
42,fabrice santoro,R,178.0,44.0,25.0,0.38848820982715376,0.2578900234409128,0.43591456078087093,0.5555899908172635,0.7765050290618473,0.5535755025511526,70.9090909090909,0.6401885174268513,145.2,0.299,0.49,0.22699999999999998,0.436,37.0
129,jonas bjorkman,R,183.0,37.0,17.0,0.38778124733154035,0.26020327667386484,0.40461835461835455,0.6219362666731089,0.7285306535242598,0.6130325374831546,77.0,0.6037515593858924,148.6,0.314,0.515,0.255,0.402,59.0
148,vincent spadea,R,183.0,55.0,26.0,0.3752533770532567,0.2424971276807752,0.43482419096055447,0.5657631756866206,0.740954081569055,0.6168911932619644,71.18181818181819,0.611608099457475,143.9,0.292,0.516,0.23600000000000002,0.395,77.0
172,carlos moya,R,190.0,68.0,44.0,0.3844547359554171,0.25136609932810533,0.44413540011507135,0.5518946080023296,0.8240094156292251,0.618967627884374,84.27941176470588,0.649591858981092,144.0,0.314,0.49,0.23600000000000002,0.4,17.0
185,thomas johansson,R,180.0,49.0,25.0,0.32570081708737597,0.17754772062851126,0.38860731105629065,0.5455755129224515,0.8086385751082293,0.5842136096124201,66.42857142857143,0.652076462069365,125.8,0.22699999999999998,0.47,0.157,0.40399999999999997,62.0
202,tommy haas,R,188.0,52.0,36.0,0.38723916079693166,0.2631077953979952,0.39145576645576646,0.5120586584104685,0.8561790397494031,0.6055857790156155,70.11538461538461,0.6899450377381722,147.6,0.294,0.511,0.25,0.42100000000000004,12.0
203,nicolas kiefer,R,183.0,24.0,16.0,0.385321456239752,0.24456908831908833,0.3453042328042328,0.48554894179894176,0.8348080160580161,0.5767074797365332,53.916666666666664,0.6826637995826598,137.7,0.315,0.478,0.22399999999999998,0.36,49.0
204,andrei pavel,R,183.0,22.0,9.0,0.37265241099468743,0.2323634167533689,0.43562409812409814,0.5280983536665356,0.7437699129684776,0.6469142704296467,49.13636363636363,0.6176087884687425,,,,,,75.0
214,arnaud clement,R,173.0,49.0,23.0,0.3541508426298034,0.19492335813320733,0.3686281405669162,0.5417786861664414,0.8111240434776371,0.5573580968210079,76.95918367346938,0.6547337345042271,126.2,0.253,0.48700000000000004,0.175,0.34700000000000003,54.0
226,guillermo canas,R,185.0,56.0,35.0,0.40190187582017456,0.29036629542628006,0.46645849190492045,0.5922696730207235,0.7910643384915,0.5689840802188278,61.57142857142857,0.6430533414556573,158.0,0.33,0.514,0.282,0.45399999999999996,15.0
227,marat safin,R,193.0,40.0,21.0,0.3530610378432776,0.2020870326568856,0.37593614718614715,0.5476325757575758,0.781663688843836,0.5684891755235574,91.4,0.6372885992845088,132.3,0.281,0.467,0.203,0.37200000000000005,56.0
229,sebastien grosjean,R,175.0,37.0,18.0,0.3805058374616671,0.257505089570307,0.46084156084156086,0.4377335127335128,0.7657447490184064,0.5416464995261453,112.0,0.6440980783817521,146.9,0.299,0.506,0.242,0.42200000000000004,53.0
235,lleyton hewitt,R,180.0,51.0,35.0,0.40639262157597794,0.29688510534103724,0.5011080966963319,0.5567101800847932,0.8388461327457353,0.5327505892857585,71.84313725490196,0.6637258538906811,158.1,0.302,0.527,0.272,0.48,21.0
236,stefan koubek,L,175.0,49.0,22.0,0.3720999052253341,0.23179035429303954,0.43854105078594857,0.5399077769109992,0.7378591596478752,0.5917456496908576,66.6938775510204,0.6130925506822145,144.1,0.29600000000000004,0.491,0.226,0.428,47.0
238,rainer schuettler,R,180.0,18.0,6.0,0.3682760607621476,0.22147645382939501,0.3666636604136604,0.5363679530346197,0.6839899388918995,0.5673531090964814,44.0,0.5921687716330458,,,,,,99.0
244,juan carlos ferrero,R,183.0,57.0,34.0,0.39919884534346134,0.27665259691575483,0.3926012507037438,0.5818469775777908,0.7879641286721294,0.6803345574972344,65.14035087719299,0.6334474367637838,147.6,0.306,0.512,0.255,0.40299999999999997,24.0
247,ivan ljubicic,R,193.0,68.0,45.0,0.3478227036689259,0.1742168574257447,0.33088435257552906,0.5940075039339747,0.8773117811790182,0.591050393840132,79.57352941176471,0.6892745285382986,122.5,0.26899999999999996,0.46399999999999997,0.159,0.33299999999999996,18.0
249,roger federer,R,185.0,75.0,66.0,0.4136420388568741,0.30033707567515605,0.42248884778791895,0.5637682709447417,0.8954473757752393,0.6196116298863299,42.76,0.7086520614635359,155.5,0.33899999999999997,0.524,0.28600000000000003,0.406,1.0
261,nicolas massu,R,183.0,33.0,12.0,0.35086991457963157,0.2157514448993481,0.377989602989603,0.5917017425038814,0.7093167683344999,0.6087775807999627,68.27272727272727,0.5976479631321833,139.9,0.293,0.49200000000000005,0.22699999999999998,0.387,78.0
262,juan ignacio chela,R,190.0,62.0,39.0,0.40766968038163165,0.2874130782380108,0.43167987694544974,0.5264636573104317,0.7606277157017444,0.5804067116032162,82.64516129032258,0.6219529782428898,151.2,0.33,0.515,0.271,0.396,20.0
264,agustin calleri,R,183.0,52.0,26.0,0.3828917684395613,0.25070476858787605,0.39407504888274125,0.5060571906725754,0.7834077692585996,0.5447467637375835,69.75,0.641248214381888,144.4,0.314,0.498,0.23199999999999998,0.4,42.0
269,olivier rochus,R,168.0,43.0,18.0,0.3644629354684408,0.22122014820752164,0.38859022114836067,0.5443324839015675,0.7166360265955816,0.6157178554048514,51.72093023255814,0.6018579260219269,140.8,0.263,0.524,0.209,0.41200000000000003,48.0
276,hyung taik lee,R,180.0,46.0,22.0,0.3716437095652886,0.22160262020774885,0.31392557243218866,0.5044566544566543,0.7891123423547036,0.6323155825425648,66.06521739130434,0.6364869859483088,,,,,,51.0
279,mikhail youzhny,R,183.0,74.0,51.0,0.40719349486499995,0.3059092746592746,0.45195378945378956,0.5817897192897193,0.8190932976807588,0.5947882106554185,61.33783783783784,0.6490893504308011,151.8,0.314,0.513,0.273,0.418,19.0
280,andy roddick,R,188.0,64.0,48.0,0.34115085580290644,0.18655497639094348,0.3870057459901211,0.5300386679292929,0.9014794093055456,0.6427325478618612,67.3125,0.7242834397020136,129.1,0.248,0.479,0.17800000000000002,0.386,6.0
283,michael russell,R,173.0,31.0,11.0,0.349130880548459,0.2114324427417406,0.3444435492822589,0.5416546714933813,0.7035633721117593,0.6809633755707888,67.09677419354838,0.5971918401240345,,,,,,82.0
284,jose acasuso,R,190.0,39.0,19.0,0.384323532531643,0.2579048313360055,0.4053021053021053,0.4895457818534743,0.7382484546184238,0.5455448359821953,80.0,0.6180635159047829,144.8,0.297,0.511,0.242,0.39799999999999996,65.0
285,tommy robredo,R,180.0,74.0,48.0,0.40649339115972843,0.30344660009571167,0.4617744117744117,0.5371793200597548,0.7876288194670547,0.6721240749384523,79.41891891891892,0.6403863254414811,160.8,0.324,0.529,0.29100000000000004,0.46399999999999997,10.0
286,nikolay davydenko,R,178.0,86.0,56.0,0.4254253085353908,0.32663346495425827,0.5052757400118622,0.5466801008049479,0.7824450488711775,0.6737444370572387,63.69767441860465,0.6356105388845523,163.2,0.34600000000000003,0.537,0.311,0.43799999999999994,4.0
288,albert montanes,R,175.0,45.0,21.0,0.34871017689197625,0.20412794177500057,0.3639143572476906,0.5550358965271247,0.7360277014198584,0.6030335203889988,80.17777777777778,0.6107128798218245,132.8,0.28,0.484,0.203,0.361,46.0
289,david nalbandian,R,180.0,48.0,31.0,0.3971867841123036,0.27263027923017485,0.44672887562786934,0.5987676369110192,0.8094895680851061,0.5711513749249747,47.9375,0.6418054153854079,151.6,0.289,0.55,0.263,0.414,9.0
290,james blake,R,185.0,70.0,48.0,0.3885249496924776,0.26234314962643135,0.45959817959817967,0.5481588043142666,0.8445365649553628,0.5793754572763966,71.17142857142858,0.6696218988037467,150.1,0.289,0.536,0.25,0.426,13.0
292,michael llodra,L,190.0,36.0,18.0,0.35513242943386586,0.19190944695330658,0.3505618609785276,0.6377941502941502,0.8250261061402365,0.6269413066503134,63.72222222222222,0.6705762743286965,126.1,0.273,0.46299999999999997,0.177,0.348,93.0
296,fernando gonzalez,R,183.0,53.0,33.0,0.36944381372919793,0.22770105686967074,0.43453825497023113,0.5437223154204285,0.8181370462782928,0.6365242505221629,54.735849056603776,0.6534982056817789,144.8,0.28600000000000003,0.518,0.225,0.419,7.0
