,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
202,tommy haas,R,188.0,21.0,68.0,47.0,0.37784379341408925,0.24511586008666456,0.3987805666326052,0.5554883841648548,0.8244074800951962,0.6133564989836381,51.94117647058823,0.6663686176578845,141.2,30.6%,48.7%,23.7%,38.2%,225.2,63.6%,38.2%,61.9%,61.5%
235,lleyton hewitt,R,180.0,82.0,43.0,26.0,0.3935580646143486,0.26976698691904977,0.4681759234237815,0.6040919029291122,0.7658831938613484,0.5085756975174552,76.97674418604652,0.6184775050713299,152.0,29.4%,52.2%,26.0%,44.4%,219.4,58.7%,44.4%,60.0%,56.3%
249,roger federer,R,185.0,2.0,66.0,48.0,0.4086375657596017,0.2904862529528304,0.4338371434962344,0.6109225370589008,0.8759509991395015,0.626456408762533,49.21212121212121,0.6959164932163223,149.4,33.0%,51.1%,25.9%,39.4%,226.4,65.1%,39.4%,61.9%,60.0%
269,olivier rochus,R,168.0,89.0,6.0,2.0,0.3026538730602479,0.18412698412698414,0.2872053872053872,0.5877344877344878,0.6595848595848596,0.5920447397788748,34.5,0.587485929854424,,,,,,,,,,
277,xavier malisse,R,185.0,62.0,31.0,13.0,0.35730628477127174,0.18845010865384382,0.3415091910098402,0.5092543657059786,0.7233438803947144,0.5568852813400181,67.16129032258064,0.6103332163893472,137.4,27.0%,51.6%,19.9%,38.9%,201.5,57.3%,38.9%,63.6%,41.7%
279,mikhail youzhny,R,183.0,25.0,62.0,38.0,0.3841524788265154,0.26191618413990747,0.4376001109341517,0.6200827740675939,0.7793406158851078,0.6237131411998588,49.04838709677419,0.6294664329366368,147.3,29.6%,51.2%,24.8%,41.7%,214.6,64.2%,41.7%,60.9%,47.8%
283,michael russell,R,173.0,92.0,22.0,7.0,0.3612237408372802,0.20292100576191485,0.367254588845498,0.4763109996064541,0.6783990763356793,0.6418789232851279,91.0909090909091,0.5892907875205329,,,,,,,,,,
286,nikolay davydenko,R,178.0,40.0,40.0,18.0,0.3820501429107688,0.25444123310899613,0.42233455882352944,0.5341519974908133,0.7034262265512267,0.6782201945546517,65.3,0.5932259449098809,160.0,32.3%,52.0%,27.8%,47.9%,214.3,59.7%,47.9%,66.7%,40.0%
288,albert montanes,R,175.0,95.0,36.0,17.0,0.3513998209527112,0.20104089010500262,0.3855816941343257,0.5869102733686067,0.7342241863075198,0.6128452960516995,62.138888888888886,0.6089473005572299,134.0,29.6%,47.6%,20.6%,36.2%,232.1,63.4%,36.2%,70.0%,62.5%
289,david nalbandian,R,180.0,84.0,11.0,6.0,0.4082772566570474,0.2964106971459912,0.5983143119506756,0.4283761692852602,0.7153798370375912,0.5804431204936259,57.90909090909091,0.6137147057321136,,,,,,,,,,
292,michael llodra,L,190.0,52.0,25.0,12.0,0.3578119772464088,0.21675281907634844,0.41957142857142854,0.45202131202131196,0.8260176100129663,0.6131367791394692,56.04,0.6626957778382808,,,,,,,,,,
297,jarkko nieminen,L,185.0,44.0,57.0,30.0,0.38280311376126314,0.2719639048792815,0.43366736749089696,0.5502537423590055,0.7787081548270804,0.6555563198184986,71.82456140350877,0.6224488915371701,146.5,27.1%,52.9%,24.1%,42.4%,210.4,58.4%,42.4%,57.7%,51.9%
