,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Return Rating, % Serve Return Points Won, % 2nd Serve Return Points Won, % Return Games Won, % Break Points Converted,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
249,roger federer,R,185.0,6.0,5.0,0.40567909567049437,0.2934279388083736,0.3964082214082214,0.7158489658489658,0.8683819582583435,0.6678348815000051,55.333333333333336,0.6826729871869491,5.0,6630.0,,,,,,,,,,
298,feliciano lopez,L,188.0,17.0,7.0,0.31218541028233804,0.14523809523809525,0.34859943977591035,0.7078197945845005,0.8148300229182582,0.5371786142299751,65.0,0.6484315509291373,64.0,998.0,,,,,,,,,,
326,rafael nadal,L,185.0,34.0,27.0,0.4373587276913467,0.37730935766421697,0.5243198794669383,0.5754159239453357,0.8735862194781633,0.6336738578044177,45.38235294117647,0.6919953923125332,2.0,9850.0,175.6,0.35100000000000003,0.568,0.344,0.493,246.8,0.675,0.493,0.8,0.5
331,ivo karlovic,R,208.0,3.0,0.0,0.22682581343998665,0.03475935828877005,0.2222222222222222,0.6972222222222223,0.8738636363636364,0.6190255935861856,41.333333333333336,0.6559255833076371,147.0,444.0,,,,,,,,,,
333,richard gasquet,R,185.0,20.0,10.0,0.34350751794310586,0.21749549062049062,0.41119047619047616,0.5982061772077252,0.721402257872846,0.600430524875921,74.7,0.6416755273464747,47.0,1145.0,,,,,,,,,,
338,fernando verdasco,L,188.0,13.0,6.0,0.36355113513305415,0.18636320944013252,0.2726822884717621,0.5511766011766013,0.7524603601526678,0.6749282082351449,68.61538461538461,0.6271452926293646,65.0,975.0,,,,,,,,,,
349,philipp kohlschreiber,R,178.0,9.0,2.0,0.3216665820342042,0.16705976437658587,0.39572649572649576,0.6374810131389078,0.7384625885141882,0.6004682338822556,60.333333333333336,0.605158827606926,98.0,729.0,,,,,,,,,,
357,gael monfils,R,193.0,22.0,15.0,0.3939452482477167,0.277243968153059,0.38652398903595075,0.5054335563426473,0.796827036599764,0.6717424033657926,66.04545454545455,0.6341913896218191,11.0,2860.0,,,,,,,,,,
367,stan wawrinka,R,183.0,23.0,15.0,0.36807993947016654,0.2156924169458919,0.41911871163789327,0.6509159318941928,0.8309511806009083,0.5907866884953036,68.1304347826087,0.6621765232360992,18.0,2320.0,137.0,0.297,0.49700000000000005,0.20600000000000002,0.37,231.8,0.648,0.37,0.7,0.6
369,andreas seppi,R,190.0,12.0,6.0,0.3577312358508041,0.21741672679172677,0.3968991656491656,0.5588903743315509,0.7787809644059643,0.6401044447599092,82.08333333333333,0.6268798635301883,106.0,689.0,,,,,,,,,,
372,andy murray,R,190.0,7.0,3.0,0.30971843699480395,0.10823885109599396,0.2497835497835498,0.5292078952793239,0.6926379039679532,0.5108393230687163,38.0,0.5829082333969257,122.0,547.0,114.6,0.248,0.435,0.12,0.34299999999999997,290.8,0.565,0.34299999999999997,1.0,1.0
375,novak djokovic,R,188.0,46.0,41.0,0.4353772413561168,0.33856591889645377,0.4520314957099853,0.6052725052725054,0.8649258801756063,0.641722425244199,44.04347826086956,0.6815323269401049,1.0,12030.0,168.8,0.34600000000000003,0.578,0.32899999999999996,0.435,287.7,0.6709999999999999,0.435,0.889,0.882
380,gilles simon,R,183.0,23.0,11.0,0.40746928959596374,0.3034014898145333,0.4773388447301491,0.5353268711964363,0.7363882494317275,0.5562901419206604,68.04347826086956,0.6181432631027166,63.0,1005.0,,,,,,,,,,
396,mischa zverev,L,190.0,3.0,1.0,0.3323412698412698,0.2555555555555556,0.22348484848484848,0.5499999999999999,0.7722222222222221,0.6225369458128079,31.666666666666668,0.6241789819376026,264.0,208.0,,,,,,,,,,
397,sam querrey,R,198.0,8.0,3.0,0.3203914708281335,0.1349251443001443,0.35636724386724383,0.271875,0.7895502645502646,0.6125259087547875,56.0,0.6714646888136316,53.0,1065.0,,,,,,,,,,
403,ernests gulbis,R,190.0,4.0,2.0,0.3083322176105681,0.1367694805194805,0.2444444444444444,0.7465277777777777,0.8792335115864527,0.5993892931973428,35.25,0.6891927903537811,181.0,351.0,,,,,,,,,,
