,name,hand,height,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,id
0,Richard Krajicek,R,196.0,"{'matchs': 53, 'win': 34, 'pourc_return_win_pnt': 0.36965206878383966, 'pourc_break_games': 0.22111314651487401, 'pourc_break_point_made': 0.42925140896839, 'pourc_break_point_saved': 0.5830243132129925, 'pourc_serv_games_win': 0.874361470118536, 'pourc_serv_in': 0.6012488018249359, 'mean_ranking_oppo': 56.83018867924528, 'pourc_serv_win_pnt': 0.6856842928936694, 'Return Rating': 135.7, ' % Serve Return Points Won': '29.7%', ' % 2nd Serve Return Points Won': '48.4%', ' % Return Games Won': '20.1%', ' % Break Points Converted': '37.5%', 'Under Pressure Rating': 210.2, ' % Break Point Saved': '64.8%', ' % Break Points Converted Pressure': '37.5%', ' % Deciding Sets Won': '57.9%', ' % Tie Breaks Won': '50.0%', 'rang': 10}","{'matchs': 44, 'win': 31, 'pourc_return_win_pnt': 0.38386131280927194, 'pourc_break_games': 0.25402287106832555, 'pourc_break_point_made': 0.45506803802258333, 'pourc_break_point_saved': 0.6503925102011228, 'pourc_serv_games_win': 0.8764714845463508, 'pourc_serv_in': 0.5508572799681889, 'mean_ranking_oppo': 68.72727272727273, 'pourc_serv_win_pnt': 0.6796073377191686, 'Under Pressure Rating': 191.9, ' % Break Point Saved': '72.7%', ' % Break Points Converted Pressure': '44.2%', ' % Deciding Sets Won': '25.0%', ' % Tie Breaks Won': '50.0%', 'rang': 10}","{'Return Rating': 133.9, ' % Serve Return Points Won': '26.6%', ' % 2nd Serve Return Points Won': '50.6%', ' % Return Games Won': '19.9%', ' % Break Points Converted': '36.8%', 'Under Pressure Rating': 208.3, ' % Break Point Saved': '68.0%', ' % Break Points Converted Pressure': '36.8%', ' % Deciding Sets Won': '55.0%', ' % Tie Breaks Won': '48.5%', 'rang': 10}","{'Under Pressure Rating': 224.0, ' % Break Point Saved': '60.2%', ' % Break Points Converted Pressure': '38.9%', ' % Deciding Sets Won': '68.8%', ' % Tie Breaks Won': '56.1%', 'rang': 10}",{'rang': 10},"{'Under Pressure Rating': 243.7, ' % Break Point Saved': '66.7%', ' % Break Points Converted Pressure': '41.4%', ' % Deciding Sets Won': '68.0%', ' % Tie Breaks Won': '67.6%', 'rang': 10}",{'rang': 10},"{'Under Pressure Rating': 196.7, ' % Break Point Saved': '65.0%', ' % Break Points Converted Pressure': '36.1%', ' % Deciding Sets Won': '55.6%', ' % Tie Breaks Won': '40.0%', 'rang': 10}",{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{'rang': 10},{},101990
1,Thomas Enqvist,R,190.0,"{'matchs': 38, 'win': 17, 'pourc_return_win_pnt': 0.39519115358732215, 'pourc_break_games': 0.27217539484415915, 'pourc_break_point_made': 0.37868688973565134, 'pourc_break_point_saved': 0.5398865191170064, 'pourc_serv_games_win': 0.7115278727120833, 'pourc_serv_in': 0.5398499246249265, 'mean_ranking_oppo': 83.21052631578948, 'pourc_serv_win_pnt': 0.5942810491612279, 'Return Rating': 148.0, ' % Serve Return Points Won': '28.8%', ' % 2nd Serve Return Points Won': '55.1%', ' % Return Games Won': '25.8%', ' % Break Points Converted': '38.3%', 'Under Pressure Rating': 181.4, ' % Break Point Saved': '56.7%', ' % Break Points Converted Pressure': '38.3%', ' % Deciding Sets Won': '50.0%', ' % Tie Breaks Won': '36.4%', 'rang': 63}","{'matchs': 41, 'win': 23, 'pourc_return_win_pnt': 0.38756095850584843, 'pourc_break_games': 0.26049704061213014, 'pourc_break_point_made': 0.42124393221954204, 'pourc_break_point_saved': 0.4816572356385842, 'pourc_serv_games_win': 0.7526767947499654, 'pourc_serv_in': 0.5441795745795627, 'mean_ranking_oppo': 71.41463414634147, 'pourc_serv_win_pnt': 0.6215668693644562, 'Under Pressure Rating': 217.4, ' % Break Point Saved': '56.1%', ' % Break Points Converted Pressure': '42.5%', ' % Deciding Sets Won': '71.4%', ' % Tie Breaks Won': '47.4%', 'rang': 63}","{'Return Rating': 162.5, ' % Serve Return Points Won': '31.6%', ' % 2nd Serve Return Points Won': '55.4%', ' % Return Games Won': '32.2%', ' % Break Points Converted': '43.3%', 'Under Pressure Rating': 236.5, ' % Break Point Saved': '61.2%', ' % Break Points Converted Pressure': '43.3%', ' % Deciding Sets Won': '76.0%', ' % Tie Breaks Won': '56.0%', 'rang': 63}","{'Under Pressure Rating': 204.9, ' % Break Point Saved': '59.2%', ' % Break Points Converted Pressure': '42.9%', ' % Deciding Sets Won': '42.1%', ' % Tie Breaks Won': '60.7%', 'rang': 63}",{'rang': 63},"{'Under Pressure Rating': 215.2, ' % Break Point Saved': '62.0%', ' % Break Points Converted Pressure': '45.4%', ' % Deciding Sets Won': '71.4%', ' % Tie Breaks Won': '36.4%', 'rang': 63}",{'rang': 63},"{'Under Pressure Rating': 215.6, ' % Break Point Saved': '65.6%', ' % Break Points Converted Pressure': '37.7%', ' % Deciding Sets Won': '60.7%', ' % Tie Breaks Won': '51.6%', 'rang': 63}","{'Under Pressure Rating': 206.3, ' % Break Point Saved': '60.5%', ' % Break Points Converted Pressure': '36.8%', ' % Deciding Sets Won': '63.2%', ' % Tie Breaks Won': '45.8%', 'rang': 63}","{'Under Pressure Rating': 240.7, ' % Break Point Saved': '57.8%', ' % Break Points Converted Pressure': '46.4%', ' % Deciding Sets Won': '73.3%', ' % Tie Breaks Won': '63.2%', 'rang': 63}","{'Under Pressure Rating': 156.2, ' % Break Point Saved': '57.3%', ' % Break Points Converted Pressure': '35.6%', ' % Deciding Sets Won': '33.3%', ' % Tie Breaks Won': '30.0%', 'rang': 63}","{'Under Pressure Rating': 166.2, ' % Break Point Saved': '58.0%', ' % Break Points Converted Pressure': '42.6%', ' % Deciding Sets Won': '18.2%', ' % Tie Breaks Won': '47.4%', 'rang': 63}",{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{'rang': 63},{},102358
2,Jonathan Stark,R,188.0,"{'matchs': 48, 'win': 26, 'pourc_return_win_pnt': 0.3792273596436307, 'pourc_break_games': 0.23787003127236503, 'pourc_break_point_made': 0.4101903815139109, 'pourc_break_point_saved': 0.5455022697210198, 'pourc_serv_games_win': 0.8264991451991931, 'pourc_serv_in': 0.5936574842685091, 'mean_ranking_oppo': 72.4375, 'pourc_serv_win_pnt': 0.6652547041427067, 'Return Rating': 140.3, ' % Serve Return Points Won': '28.8%', ' % 2nd Serve Return Points Won': '48.7%', ' % Return Games Won': '21.4%', ' % Break Points Converted': '41.4%', 'Under Pressure Rating': 191.2, ' % Break Point Saved': '61.9%', ' % Break Points Converted Pressure': '41.4%', ' % Deciding Sets Won': '35.7%', ' % Tie Breaks Won': '52.2%', 'rang': 85}","{'matchs': 48, 'win': 25, 'pourc_return_win_pnt': 0.35428232666157083, 'pourc_break_games': 0.18507011808642237, 'pourc_break_point_made': 0.41222492784992776, 'pourc_break_point_saved': 0.6030022555274104, 'pourc_serv_games_win': 0.8315901137912007, 'pourc_serv_in': 0.5949414300468144, 'mean_ranking_oppo': 101.39583333333333, 'pourc_serv_win_pnt': 0.6691855907097298, 'Under Pressure Rating': 203.8, ' % Break Point Saved': '64.8%', ' % Break Points Converted Pressure': '35.0%', ' % Deciding Sets Won': '40.0%', ' % Tie Breaks Won': '64.0%', 'rang': 85}","{'Return Rating': 121.1, ' % Serve Return Points Won': '25.3%', ' % 2nd Serve Return Points Won': '47.9%', ' % Return Games Won': '16.9%', ' % Break Points Converted': '31.0%', 'Under Pressure Rating': 189.4, ' % Break Point Saved': '60.2%', ' % Break Points Converted Pressure': '31.0%', ' % Deciding Sets Won': '53.8%', ' % Tie Breaks Won': '44.4%', 'rang': 85}","{'Under Pressure Rating': 184.3, ' % Break Point Saved': '61.0%', ' % Break Points Converted Pressure': '42.1%', ' % Deciding Sets Won': '40.0%', ' % Tie Breaks Won': '41.2%', 'rang': 85}",{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{'rang': 85},{},101890
3,Todd Woodbridge,R,178.0,"{'matchs': 36, 'win': 18, 'pourc_return_win_pnt': 0.39638606676077515, 'pourc_break_games': 0.2728084093844963, 'pourc_break_point_made': 0.45154324841824844, 'pourc_break_point_saved': 0.5171915661498995, 'pourc_serv_games_win': 0.7296910347682661, 'pourc_serv_in': 0.5862951076534023, 'mean_ranking_oppo': 72.13888888888889, 'pourc_serv_win_pnt': 0.6007770674619285, 'Return Rating': 155.2, ' % Serve Return Points Won': '33.1%', ' % 2nd Serve Return Points Won': '51.6%', ' % Return Games Won': '27.4%', ' % Break Points Converted': '43.1%', 'Under Pressure Rating': 205.6, ' % Break Point Saved': '55.4%', ' % Break Points Converted Pressure': '43.1%', ' % Deciding Sets Won': '57.1%', ' % Tie Breaks Won': '50.0%', 'rang': 54}","{'matchs': 25, 'win': 9, 'pourc_return_win_pnt': 0.36830094939681957, 'pourc_break_games': 0.20619756191520897, 'pourc_break_point_made': 0.4674859117490696, 'pourc_break_point_saved': 0.49868797215856026, 'pourc_serv_games_win': 0.69010247813189, 'pourc_serv_in': 0.5817511137913554, 'mean_ranking_oppo': 81.8, 'pourc_serv_win_pnt': 0.5827734841560511, 'Under Pressure Rating': 195.1, ' % Break Point Saved': '58.7%', ' % Break Points Converted Pressure': '42.0%', ' % Deciding Sets Won': '50.0%', ' % Tie Breaks Won': '44.4%', 'rang': 54}","{'Return Rating': 143.7, ' % Serve Return Points Won': '30.1%', ' % 2nd Serve Return Points Won': '50.8%', ' % Return Games Won': '24.2%', ' % Break Points Converted': '38.6%', 'Under Pressure Rating': 218.9, ' % Break Point Saved': '61.5%', ' % Break Points Converted Pressure': '38.6%', ' % Deciding Sets Won': '53.8%', ' % Tie Breaks Won': '65.0%', 'rang': 54}","{'Under Pressure Rating': 223.3, ' % Break Point Saved': '59.4%', ' % Break Points Converted Pressure': '42.0%', ' % Deciding Sets Won': '63.6%', ' % Tie Breaks Won': '58.3%', 'rang': 54}",{'rang': 54},"{'Under Pressure Rating': 221.0, ' % Break Point Saved': '56.3%', ' % Break Points Converted Pressure': '45.7%', ' % Deciding Sets Won': '85.7%', ' % Tie Breaks Won': '33.3%', 'rang': 54}",{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{'rang': 54},{},101889
4,David Wheaton,R,193.0,"{'matchs': 52, 'win': 27, 'pourc_return_win_pnt': 0.38601289532157784, 'pourc_break_games': 0.27490677815234255, 'pourc_break_point_made': 0.44562509668561706, 'pourc_break_point_saved': 0.527910828884275, 'pourc_serv_games_win': 0.7636105989516027, 'pourc_serv_in': 0.5785177002248024, 'mean_ranking_oppo': 94.32692307692308, 'pourc_serv_win_pnt': 0.6229138507555234, 'Return Rating': 151.3, ' % Serve Return Points Won': '28.1%', ' % 2nd Serve Return Points Won': '54.4%', ' % Return Games Won': '26.0%', ' % Break Points Converted': '42.8%', 'Under Pressure Rating': 211.8, ' % Break Point Saved': '58.7%', ' % Break Points Converted Pressure': '42.8%', ' % Deciding Sets Won': '52.4%', ' % Tie Breaks Won': '57.9%', 'rang': 44}","{'matchs': 40, 'win': 23, 'pourc_return_win_pnt': 0.35849975124031347, 'pourc_break_games': 0.2299350403018881, 'pourc_break_point_made': 0.3899253524253525, 'pourc_break_point_saved': 0.6064420301920301, 'pourc_serv_games_win': 0.8256442302901703, 'pourc_serv_in': 0.5892238640057681, 'mean_ranking_oppo': 59.75, 'pourc_serv_win_pnt': 0.6491380480446239, 'Under Pressure Rating': 217.4, ' % Break Point Saved': '65.5%', ' % Break Points Converted Pressure': '38.3%', ' % Deciding Sets Won': '57.1%', ' % Tie Breaks Won': '56.5%', 'rang': 44}","{'Return Rating': 141.3, ' % Serve Return Points Won': '28.0%', ' % 2nd Serve Return Points Won': '51.6%', ' % Return Games Won': '22.5%', ' % Break Points Converted': '39.2%', 'Under Pressure Rating': 191.4, ' % Break Point Saved': '63.7%', ' % Break Points Converted Pressure': '39.2%', ' % Deciding Sets Won': '38.5%', ' % Tie Breaks Won': '50.0%', 'rang': 44}",{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{'rang': 44},{},101609
5,Alexander Volkov,L,188.0,"{'matchs': 67, 'win': 42, 'pourc_return_win_pnt': 0.40697859940685843, 'pourc_break_games': 0.2966551305314279, 'pourc_break_point_made': 0.4526276286983619, 'pourc_break_point_saved': 0.6600388123267148, 'pourc_serv_games_win': 0.8045237713415014, 'pourc_serv_in': 0.5198685653783895, 'mean_ranking_oppo': 94.2089552238806, 'pourc_serv_win_pnt': 0.6378009061217462, 'Return Rating': 152.5, ' % Serve Return Points Won': '30.1%', ' % 2nd Serve Return Points Won': '52.6%', ' % Return Games Won': '26.9%', ' % Break Points Converted': '42.9%', 'Under Pressure Rating': 205.5, ' % Break Point Saved': '65.2%', ' % Break Points Converted Pressure': '42.9%', ' % Deciding Sets Won': '42.9%', ' % Tie Breaks Won': '54.5%', 'rang': 17}","{'matchs': 62, 'win': 32, 'pourc_return_win_pnt': 0.3775600890700381, 'pourc_break_games': 0.24962627814333085, 'pourc_break_point_made': 0.45871699984603204, 'pourc_break_point_saved': 0.5410460428249801, 'pourc_serv_games_win': 0.7325758462744131, 'pourc_serv_in': 0.5021119387578507, 'mean_ranking_oppo': 91.04838709677419, 'pourc_serv_win_pnt': 0.6024273918500869, 'Under Pressure Rating': 214.3, ' % Break Point Saved': '60.1%', ' % Break Points Converted Pressure': '42.1%', ' % Deciding Sets Won': '64.5%', ' % Tie Breaks Won': '47.6%', 'rang': 17}","{'Return Rating': 144.4, ' % Serve Return Points Won': '27.3%', ' % 2nd Serve Return Points Won': '52.2%', ' % Return Games Won': '24.5%', ' % Break Points Converted': '40.4%', 'Under Pressure Rating': 189.5, ' % Break Point Saved': '58.8%', ' % Break Points Converted Pressure': '40.4%', ' % Deciding Sets Won': '62.5%', ' % Tie Breaks Won': '27.8%', 'rang': 17}","{'Under Pressure Rating': 216.5, ' % Break Point Saved': '58.2%', ' % Break Points Converted Pressure': '42.8%', ' % Deciding Sets Won': '70.0%', ' % Tie Breaks Won': '45.5%', 'rang': 17}",{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{'rang': 17},{},101334
6,Jonas Svensson,R,188.0,"{'matchs': 59, 'win': 33, 'pourc_return_win_pnt': 0.4113046336267568, 'pourc_break_games': 0.3019442571386738, 'pourc_break_point_made': 0.4507853963362437, 'pourc_break_point_saved': 0.5629903759141047, 'pourc_serv_games_win': 0.7749548284095955, 'pourc_serv_in': 0.6333978680296412, 'mean_ranking_oppo': 103.1864406779661, 'pourc_serv_win_pnt': 0.6293441260770629, 'Return Rating': 158.0, ' % Serve Return Points Won': '33.3%', ' % 2nd Serve Return Points Won': '52.2%', ' % Return Games Won': '29.0%', ' % Break Points Converted': '43.5%', 'Under Pressure Rating': 191.6, ' % Break Point Saved': '61.2%', ' % Break Points Converted Pressure': '43.5%', ' % Deciding Sets Won': '47.8%', ' % Tie Breaks Won': '39.1%', 'rang': 81}","{'matchs': 25, 'win': 8, 'pourc_return_win_pnt': 0.37040972951015194, 'pourc_break_games': 0.24520196470196468, 'pourc_break_point_made': 0.4263276592688358, 'pourc_break_point_saved': 0.533642942025295, 'pourc_serv_games_win': 0.6611314536856332, 'pourc_serv_in': 0.5783963392725133, 'mean_ranking_oppo': 76.68, 'pourc_serv_win_pnt': 0.5729729065268252, 'rang': 81}",{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{'rang': 81},{},101298
7,Markus Naewie,R,190.0,"{'matchs': 19, 'win': 5, 'pourc_return_win_pnt': 0.3602100541202863, 'pourc_break_games': 0.2289495935780766, 'pourc_break_point_made': 0.4593509174004531, 'pourc_break_point_saved': 0.5345395488584342, 'pourc_serv_games_win': 0.6668859744964412, 'pourc_serv_in': 0.6291335426171916, 'mean_ranking_oppo': 87.84210526315789, 'pourc_serv_win_pnt': 0.5790176406992188, 'rang': 77}","{'matchs': 3, 'win': 1, 'pourc_return_win_pnt': 0.32676343264578556, 'pourc_break_games': 0.13257575757575757, 'pourc_break_point_made': 0.3, 'pourc_break_point_saved': 0.5542483660130719, 'pourc_serv_games_win': 0.5142857142857142, 'pourc_serv_in': 0.7302659802659802, 'mean_ranking_oppo': 49.333333333333336, 'pourc_serv_win_pnt': 0.5048083798083799, 'rang': 77}",{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{'rang': 77},{},101685
8,Bernd Karbacher,R,185.0,"{'matchs': 46, 'win': 18, 'pourc_return_win_pnt': 0.3676684842481518, 'pourc_break_games': 0.2240942674269838, 'pourc_break_point_made': 0.41404670209018035, 'pourc_break_point_saved': 0.5521591833780554, 'pourc_serv_games_win': 0.7043414197489445, 'pourc_serv_in': 0.5166390207451004, 'mean_ranking_oppo': 73.95652173913044, 'pourc_serv_win_pnt': 0.5931061799431592, 'Return Rating': 142.3, ' % Serve Return Points Won': '28.0%', ' % 2nd Serve Return Points Won': '50.5%', ' % Return Games Won': '22.5%', ' % Break Points Converted': '41.3%', 'Under Pressure Rating': 210.4, ' % Break Point Saved': '59.5%', ' % Break Points Converted Pressure': '41.3%', ' % Deciding Sets Won': '47.1%', ' % Tie Breaks Won': '62.5%', 'rang': 52}","{'matchs': 55, 'win': 32, 'pourc_return_win_pnt': 0.3831572501424031, 'pourc_break_games': 0.2412299459433847, 'pourc_break_point_made': 0.40060410713572764, 'pourc_break_point_saved': 0.5731641371364693, 'pourc_serv_games_win': 0.7272034826117412, 'pourc_serv_in': 0.5280255594093586, 'mean_ranking_oppo': 104.12727272727273, 'pourc_serv_win_pnt': 0.6066754348234543, 'Under Pressure Rating': 255.1, ' % Break Point Saved': '59.8%', ' % Break Points Converted Pressure': '41.6%', ' % Deciding Sets Won': '73.7%', ' % Tie Breaks Won': '80.0%', 'rang': 52}","{'Return Rating': 148.1, ' % Serve Return Points Won': '30.7%', ' % 2nd Serve Return Points Won': '51.4%', ' % Return Games Won': '25.9%', ' % Break Points Converted': '40.1%', 'Under Pressure Rating': 184.1, ' % Break Point Saved': '53.6%', ' % Break Points Converted Pressure': '40.1%', ' % Deciding Sets Won': '57.1%', ' % Tie Breaks Won': '33.3%', 'rang': 52}","{'Under Pressure Rating': 152.3, ' % Break Point Saved': '61.8%', ' % Break Points Converted Pressure': '39.0%', ' % Deciding Sets Won': '33.3%', ' % Tie Breaks Won': '18.2%', 'rang': 52}",{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{'rang': 52},{},101463
9,Nicklas Kulti,R,190.0,"{'matchs': 50, 'win': 26, 'pourc_return_win_pnt': 0.37204573250083, 'pourc_break_games': 0.218808772067286, 'pourc_break_point_made': 0.3813516761016761, 'pourc_break_point_saved': 0.5755147630147631, 'pourc_serv_games_win': 0.7822243442831679, 'pourc_serv_in': 0.5599658180455358, 'mean_ranking_oppo': 79.18, 'pourc_serv_win_pnt': 0.6273152113326654, 'Return Rating': 136.4, ' % Serve Return Points Won': '29.0%', ' % 2nd Serve Return Points Won': '49.5%', ' % Return Games Won': '21.3%', ' % Break Points Converted': '36.6%', 'Under Pressure Rating': 191.8, ' % Break Point Saved': '58.5%', ' % Break Points Converted Pressure': '36.6%', ' % Deciding Sets Won': '46.7%', ' % Tie Breaks Won': '50.0%', 'rang': 79}","{'matchs': 43, 'win': 19, 'pourc_return_win_pnt': 0.36110708942044667, 'pourc_break_games': 0.21292341379550678, 'pourc_break_point_made': 0.40471288027897584, 'pourc_break_point_saved': 0.5553426547612595, 'pourc_serv_games_win': 0.7590384802934694, 'pourc_serv_in': 0.5792732282651829, 'mean_ranking_oppo': 62.651162790697676, 'pourc_serv_win_pnt': 0.6221393873556281, 'Under Pressure Rating': 175.6, ' % Break Point Saved': '57.1%', ' % Break Points Converted Pressure': '38.5%', ' % Deciding Sets Won': '33.3%', ' % Tie Breaks Won': '46.7%', 'rang': 79}",{'rang': 79},"{'Under Pressure Rating': 203.4, ' % Break Point Saved': '61.4%', ' % Break Points Converted Pressure': '38.8%', ' % Deciding Sets Won': '40.0%', ' % Tie Breaks Won': '63.2%', 'rang': 79}",{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{'rang': 79},{},101900
