Ranking,Name, ,Return Rating,% 1 Serve Return Points Won,% 2nd Serve Return Points Won,% Return Games Won,% Break Points Converted,Year
1,Guillermo Perez-Roldan,,183.3,37.5%,56.6%,38.6%,50.6%,1991
2,Magnus Gustafsson,,177.2,37.9%,55.4%,36.1%,47.8%,1991
3,Thomas Muster,,175.7,37.7%,54.4%,36.0%,47.6%,1991
4,Michael Chang,,172.7,34.5%,54.8%,35.2%,48.2%,1991
5,Andrei Chesnokov,,172.0,36.4%,52.7%,35.1%,47.8%,1991
6,Jordi Arrese,,169.8,34.9%,55.5%,34.3%,45.1%,1991
7,Stefan Edberg,,168.1,35.5%,54.3%,33.3%,45.0%,1991
8,Sergi Bruguera,,167.5,34.2%,55.4%,32.8%,45.1%,1991
9,Horacio de la Pena,,166.8,37.4%,53.6%,34.6%,41.2%,1991
10,Fabrice Santoro,,166.2,35.5%,53.8%,33.9%,43.0%,1991
11,Anders Jarryd,,165.2,33.4%,52.5%,30.8%,48.5%,1991
12,Francisco Clavet,,165.1,34.9%,53.2%,33.0%,44.0%,1991
13,Goran Prpic,,165.1,34.3%,53.7%,32.2%,44.9%,1991
14,Eduardo Masso,,164.7,34.9%,52.8%,30.4%,46.6%,1991
15,Jimmy Connors,,164.6,34.3%,54.1%,32.3%,43.9%,1991
16,Lars Jonsson,,164.4,33.4%,53.2%,32.1%,45.7%,1991
17,Christian Bergstrom,,163.2,34.8%,52.1%,31.6%,44.7%,1991
18,Renzo Furlan,,163.2,35.8%,51.2%,31.5%,44.7%,1991
19,Ivan Lendl,,161.5,32.1%,53.3%,29.4%,46.7%,1991
20,Jaime Yzaga,,160.4,34.5%,51.1%,30.8%,44.0%,1991
21,Petr Korda,,160.3,33.7%,52.7%,29.6%,44.3%,1991
22,Jim Courier,,160.3,31.8%,53.2%,29.7%,45.6%,1991
23,Marian Vajda,,159.6,34.7%,51.3%,29.3%,44.3%,1991
24,Jaime Oncins,,159.4,35.1%,53.7%,29.7%,40.9%,1991
25,Patrick McEnroe,,159.3,32.2%,55.7%,30.3%,41.1%,1991
26,Jimmy Arias,,158.8,32.4%,53.8%,29.7%,42.9%,1991
27,Paul Haarhuis,,158.3,34.2%,49.6%,28.2%,46.3%,1991
28,Horst Skoff,,157.4,34.6%,51.3%,29.1%,42.4%,1991
29,Richard Fromberg,,157.0,34.8%,48.3%,27.7%,46.2%,1991
30,Thierry Champion,,156.9,33.8%,49.2%,28.1%,45.8%,1991
31,Brad Gilbert,,156.6,34.8%,49.6%,28.7%,43.5%,1991
32,Carl-Uwe Steeb,,156.4,33.4%,52.1%,27.4%,43.5%,1991
33,Andrei Cherkasov,,156.3,31.8%,54.0%,28.3%,42.2%,1991
34,Arnaud Boetsch,,155.7,32.5%,52.9%,28.8%,41.5%,1991
35,Andre Agassi,,155.7,32.0%,53.0%,28.9%,41.8%,1991
36,Alexander Volkov,,155.4,32.5%,50.7%,26.6%,45.6%,1991
37,Jonas Svensson,,155.3,33.5%,50.3%,27.9%,43.6%,1991
38,Veli Paloheimo,,154.7,35.5%,52.1%,29.4%,37.7%,1991
39,Javier Frana,,154.2,30.7%,51.0%,25.1%,47.4%,1991
40,Jan Gunnarsson,,154.2,33.3%,51.3%,27.9%,41.7%,1991
41,Richey Reneberg,,153.9,33.5%,51.2%,28.4%,40.8%,1991
42,Gilad Bloom,,153.3,31.6%,49.4%,27.2%,45.1%,1991
43,Boris Becker,,153.1,32.6%,50.4%,27.3%,42.8%,1991
44,MaliVai Washington,,152.8,30.8%,52.1%,26.1%,43.8%,1991
45,John McEnroe,,152.6,33.5%,50.6%,27.7%,40.8%,1991
46,Todd Woodbridge,,152.0,30.0%,53.3%,26.5%,42.2%,1991
47,Tomas Carbonell,,152.0,31.5%,50.4%,26.5%,43.6%,1991
48,Martin Jaite,,151.7,32.7%,48.7%,26.0%,44.3%,1991
49,Mark Koevermans,,151.7,34.7%,48.6%,26.6%,41.8%,1991
50,Omar Camporese,,151.6,32.1%,49.8%,26.2%,43.5%,1991
51,Nicklas Kulti,,151.1,31.7%,50.9%,25.9%,42.6%,1991
52,Jean-Philippe Fleurian,,150.6,33.4%,48.5%,26.3%,42.4%,1991
53,Karel Novacek,,150.5,31.1%,51.2%,25.8%,42.4%,1991
