Ranking,Name, ,Under Pressure Rating,% Break Points Converted,% Break Point Saved,% Tie Breaks Won,% Deciding Sets Won,Year
1,Jaime Yzaga,,249.0,44.0%,59.3%,85.7%,60.0%,1991
2,Sergi Bruguera,,241.2,45.1%,59.8%,72.7%,63.6%,1991
3,Petr Korda,,240.1,44.3%,56.8%,75.0%,64.0%,1991
4,Stefan Edberg,,239.4,45.0%,64.5%,66.7%,63.2%,1991
5,Alberto Mancini,,238.6,40.5%,60.1%,73.3%,64.7%,1991
6,Michael Stich,,238.6,41.7%,68.7%,65.0%,63.2%,1991
7,Boris Becker,,238.1,42.8%,67.1%,59.4%,68.8%,1991
8,Javier Frana,,236.7,47.4%,63.4%,68.8%,57.1%,1991
9,Jim Courier,,235.8,45.6%,62.5%,57.1%,70.6%,1991
10,Ivan Lendl,,234.6,46.7%,62.0%,52.0%,73.9%,1991
11,Jimmy Arias,,233.8,42.9%,57.5%,66.7%,66.7%,1991
12,Richey Reneberg,,233.1,40.8%,58.4%,64.3%,69.6%,1991
13,Guy Forget,,232.7,41.5%,63.4%,52.8%,75.0%,1991
14,Derrick Rostagno,,232.2,38.3%,58.5%,64.0%,71.4%,1991
15,Magnus Gustafsson,,231.3,47.8%,55.8%,55.0%,72.7%,1991
16,Michael Chang,,230.8,48.2%,61.8%,50.0%,70.8%,1991
17,Karel Novacek,,229.2,42.4%,63.0%,57.1%,66.7%,1991
18,Pete Sampras,,228.5,39.5%,66.9%,57.1%,65.0%,1991
19,Magnus Larsson,,227.6,40.0%,61.3%,69.2%,57.1%,1991
20,Jimmy Connors,,226.9,43.9%,55.8%,63.6%,63.6%,1991
21,Marian Vajda,,225.1,44.3%,53.1%,71.4%,56.3%,1991
22,Jordi Arrese,,224.0,45.1%,57.2%,44.4%,77.3%,1991
23,Patrick McEnroe,,221.6,41.1%,58.7%,64.7%,57.1%,1991
24,Thomas Muster,,221.6,47.6%,60.2%,53.8%,60.0%,1991
25,Alexander Volkov,,221.5,45.6%,58.9%,55.2%,61.8%,1991
26,Christian Bergstrom,,219.7,44.7%,57.9%,57.1%,60.0%,1991
27,Richard Fromberg,,219.6,46.2%,53.8%,62.5%,57.1%,1991
28,Guillermo Perez-Roldan,,219.4,50.6%,58.3%,64.3%,46.2%,1991
29,Javier Sanchez,,219.2,41.7%,61.0%,60.0%,56.5%,1991
30,Aaron Krickstein,,219.0,38.4%,62.0%,51.9%,66.7%,1991
31,Brad Gilbert,,218.5,43.5%,60.7%,66.7%,47.6%,1991
32,Jakob Hlasek,,217.0,41.1%,62.6%,51.4%,61.9%,1991
33,Emilio Sanchez,,216.9,39.5%,62.1%,53.8%,61.5%,1991
34,Cristiano Caratti,,215.1,41.6%,56.0%,55.0%,62.5%,1991
35,Todd Woodbridge,,214.7,42.2%,56.7%,53.3%,62.5%,1991
36,John McEnroe,,213.8,40.8%,62.1%,52.6%,58.3%,1991
37,Francisco Clavet,,213.5,44.0%,60.7%,50.0%,58.8%,1991
38,Martin Jaite,,212.7,44.3%,56.2%,35.3%,76.9%,1991
39,Renzo Furlan,,211.6,44.7%,51.9%,75.0%,40.0%,1991
40,Shuzo Matsuoka,,211.2,43.3%,67.9%,46.7%,53.3%,1991
41,Paul Haarhuis,,210.6,46.3%,51.5%,54.5%,58.3%,1991
42,David Wheaton,,210.3,38.0%,65.9%,52.6%,53.8%,1991
43,Omar Camporese,,209.7,43.5%,61.9%,47.8%,56.5%,1991
44,Fabrice Santoro,,209.3,43.0%,58.9%,63.6%,43.8%,1991
45,Jonas Svensson,,208.7,43.6%,56.3%,50.0%,58.8%,1991
46,MaliVai Washington,,206.5,43.8%,61.8%,48.0%,52.9%,1991
47,Wayne Ferreira,,206.4,41.5%,56.1%,58.8%,50.0%,1991
48,Mark Woodforde,,205.6,38.0%,55.1%,50.0%,62.5%,1991
49,Andres Gomez,,205.3,43.1%,60.6%,54.5%,47.1%,1991
50,Jeff Tarango,,204.9,46.9%,58.0%,46.7%,53.3%,1991
51,Grant Connell,,204.4,35.2%,66.3%,42.9%,60.0%,1991
52,Jan Siemerink,,204.4,41.1%,59.0%,51.9%,52.4%,1991
53,Goran Ivanisevic,,204.2,40.7%,64.0%,53.3%,46.2%,1991
54,Alexander Mronz,,203.2,41.1%,63.9%,62.5%,35.7%,1991
55,Andre Agassi,,201.8,41.8%,61.1%,52.2%,46.7%,1991
56,Horst Skoff,,201.4,42.4%,59.0%,42.9%,57.1%,1991
57,Jan Gunnarsson,,200.7,41.7%,56.6%,85.7%,16.7%,1991
58,Jacco Eltingh,,198.2,33.8%,56.1%,58.3%,50.0%,1991
59,Christian Saceanu,,197.7,37.0%,58.3%,66.7%,35.7%,1991
60,Patrick Baur,,197.6,36.5%,63.5%,64.3%,33.3%,1991
61,Kevin Curren,,197.3,39.2%,60.3%,47.8%,50.0%,1991
62,Thierry Champion,,196.7,45.8%,55.1%,50.0%,45.8%,1991
63,Carl-Uwe Steeb,,196.5,43.5%,55.6%,50.0%,47.4%,1991
64,Andrei Cherkasov,,196.1,42.2%,61.7%,46.7%,45.5%,1991
65,Andrei Chesnokov,,194.2,47.8%,50.6%,42.9%,52.9%,1991
66,Richard Krajicek,,194.0,37.0%,61.5%,45.5%,50.0%,1991
67,Peter Lundgren,,192.3,39.3%,59.2%,53.8%,40.0%,1991
68,Goran Prpic,,192.0,44.9%,58.0%,39.1%,50.0%,1991
69,Arnaud Boetsch,,191.5,41.5%,58.3%,41.7%,50.0%,1991
70,Eduardo Masso,,191.0,46.6%,54.4%,40.0%,50.0%,1991
71,Eric Jelen,,189.8,41.8%,57.4%,44.4%,46.2%,1991
72,Amos Mansdorf,,188.2,39.4%,63.1%,29.4%,56.3%,1991
73,Jaime Oncins,,186.6,40.9%,54.4%,55.6%,35.7%,1991
74,Lars Jonsson,,186.0,45.7%,58.1%,22.2%,60.0%,1991
75,Horacio de la Pena,,186.0,41.2%,56.4%,42.9%,45.5%,1991
76,Gary Muller,,185.5,38.2%,59.5%,33.3%,54.5%,1991
77,Cedric Pioline,,185.2,39.9%,60.0%,35.3%,50.0%,1991
78,Wally Masur,,183.9,41.2%,60.4%,41.4%,40.9%,1991
79,Anders Jarryd,,183.1,48.5%,59.1%,45.5%,30.0%,1991
80,Ronald Agenor,,181.7,40.1%,51.6%,40.0%,50.0%,1991
81,Jean-Philippe Fleurian,,180.8,42.4%,58.7%,38.5%,41.2%,1991
82,Luiz Mattar,,177.8,40.5%,60.6%,46.7%,30.0%,1991
83,Thomas Hogstedt,,176.5,40.9%,54.8%,36.4%,44.4%,1991
84,Guillaume Raoux,,176.4,39.8%,57.1%,33.3%,46.2%,1991
85,Jim Grabb,,176.2,35.0%,63.7%,47.1%,30.4%,1991
86,Jason Stoltenberg,,170.2,39.5%,60.2%,45.5%,25.0%,1991
87,Veli Paloheimo,,169.9,37.7%,56.0%,33.3%,42.9%,1991
88,Nicklas Kulti,,164.1,42.6%,57.4%,33.3%,30.8%,1991
89,Luis Herrera,,159.9,38.9%,57.5%,38.5%,25.0%,1991
90,Patrik Kuhnen,,159.0,44.8%,57.8%,33.3%,23.1%,1991
91,Marc Rosset,,157.3,35.9%,57.1%,45.5%,18.8%,1991
92,Scott Davis,,153.9,33.2%,54.0%,50.0%,16.7%,1991
93,Tomas Carbonell,,153.4,43.6%,50.4%,28.6%,30.8%,1991
94,Gilad Bloom,,151.3,45.1%,57.5%,27.3%,21.4%,1991
95,Mark Koevermans,,151.0,41.8%,56.2%,22.2%,30.8%,1991
1,Guillermo Perez-Roldan,,258.5,46.0%,56.1%,78.6%,77.8%,1993
2,Michael Stich,,248.0,39.3%,68.1%,70.6%,70.0%,1993
3,Pete Sampras,,246.2,43.1%,68.8%,58.1%,76.2%,1993
4,Goran Ivanisevic,,242.7,43.9%,65.4%,66.7%,66.7%,1993
5,Patrick McEnroe,,242.5,43.4%,60.2%,50.0%,88.9%,1993
6,Wayne Ferreira,,239.9,39.7%,60.1%,63.6%,76.5%,1993
7,Magnus Larsson,,239.9,37.5%,63.1%,61.5%,77.8%,1993
8,Brad Gilbert,,237.4,41.2%,59.1%,69.2%,67.9%,1993
9,Andrei Medvedev,,237.0,42.3%,58.8%,57.6%,78.3%,1993
10,Jacco Eltingh,,233.7,37.8%,62.0%,62.5%,71.4%,1993
11,Andrei Chesnokov,,233.2,45.1%,58.1%,70.0%,60.0%,1993
12,Stefan Edberg,,231.7,42.6%,63.6%,63.6%,61.9%,1993
13,Thomas Muster,,231.5,43.9%,65.6%,50.0%,72.0%,1993
14,Karel Novacek,,227.7,38.2%,60.9%,66.7%,61.9%,1993
15,Javier Frana,,227.5,38.6%,63.1%,64.3%,61.5%,1993
16,Marc Rosset,,225.6,39.1%,66.3%,55.2%,65.0%,1993
17,Magnus Gustafsson,,224.5,42.7%,61.8%,56.0%,64.0%,1993
18,Wally Masur,,223.6,39.9%,61.5%,64.3%,57.9%,1993
19,Jaime Yzaga,,221.9,42.6%,59.2%,63.0%,57.1%,1993
20,Michael Chang,,220.3,44.7%,61.7%,46.2%,67.7%,1993
21,Jordi Arrese,,218.2,43.7%,54.3%,62.5%,57.7%,1993
22,Gianluca Pozzi,,217.5,38.7%,52.2%,73.3%,53.3%,1993
23,Richard Fromberg,,216.9,38.7%,65.9%,51.4%,60.9%,1993
24,Jim Courier,,216.2,42.0%,65.9%,52.0%,56.3%,1993
25,Amos Mansdorf,,215.9,43.2%,63.3%,48.3%,61.1%,1993
26,Slava Dosedel,,215.1,44.9%,50.2%,60.0%,60.0%,1993
27,Andrei Cherkasov,,215.0,42.3%,60.0%,53.6%,59.1%,1993
28,MaliVai Washington,,214.5,38.4%,57.3%,54.5%,64.3%,1993
29,Sergi Bruguera,,212.3,47.4%,60.4%,46.2%,58.3%,1993
30,David Wheaton,,211.8,42.8%,58.7%,57.9%,52.4%,1993
31,Petr Korda,,211.2,45.0%,61.0%,55.2%,50.0%,1993
32,Jamie Morgan,,211.2,32.2%,62.5%,60.9%,55.6%,1993
33,Bernd Karbacher,,210.4,41.3%,59.5%,62.5%,47.1%,1993
34,Cedric Pioline,,210.3,37.8%,64.0%,51.4%,57.1%,1993
35,Richard Krajicek,,210.2,37.5%,64.8%,50.0%,57.9%,1993
36,Mark Woodforde,,210.0,40.9%,65.7%,47.1%,56.3%,1993
37,Jason Stoltenberg,,209.5,41.7%,61.9%,47.1%,58.8%,1993
38,Arnaud Boetsch,,209.3,41.5%,61.8%,50.0%,56.0%,1993
39,Todd Martin,,208.8,44.8%,65.6%,48.4%,50.0%,1993
40,Mikael Pernfors,,207.9,45.5%,61.7%,46.2%,54.5%,1993
41,Christian Bergstrom,,207.4,43.3%,56.0%,43.8%,64.3%,1993
42,Todd Woodbridge,,205.6,43.1%,55.4%,50.0%,57.1%,1993
43,Alexander Volkov,,205.5,42.9%,65.2%,54.5%,42.9%,1993
44,Marcelo Filippini,,205.4,40.9%,55.1%,80.0%,29.4%,1993
45,Younes El Aynaoui,,205.1,38.9%,66.2%,42.9%,57.1%,1993
46,Aaron Krickstein,,204.6,40.9%,62.8%,53.8%,47.1%,1993
47,Boris Becker,,202.6,38.5%,63.3%,42.9%,57.9%,1993
48,Paul Haarhuis,,202.0,40.5%,63.9%,47.6%,50.0%,1993
49,Luiz Mattar,,201.6,38.8%,59.8%,56.3%,46.7%,1993
50,Horacio de la Pena,,201.3,46.8%,54.5%,50.0%,50.0%,1993
51,Renzo Furlan,,201.2,43.7%,57.5%,53.3%,46.7%,1993
52,Marc-Kevin Goellner,,199.5,42.3%,61.4%,38.7%,57.1%,1993
53,Horst Skoff,,199.4,43.9%,55.5%,50.0%,50.0%,1993
54,Jan Siemerink,,199.3,37.3%,63.8%,53.8%,44.4%,1993
55,Alex O'Brien,,199.0,37.8%,56.5%,71.4%,33.3%,1993
56,Stephane Simian,,198.9,40.3%,60.5%,45.5%,52.6%,1993
57,Emilio Sanchez,,198.7,37.4%,61.3%,50.0%,50.0%,1993
58,Bryan Shelton,,198.0,36.7%,61.8%,54.5%,45.0%,1993
59,Javier Sanchez,,197.8,39.8%,57.7%,36.0%,64.3%,1993
60,Alex Corretja,,196.1,42.9%,61.0%,28.6%,63.6%,1993
61,Gilbert Schaller,,195.7,43.4%,52.3%,55.6%,44.4%,1993
62,Jeff Tarango,,195.3,42.4%,62.3%,22.2%,68.4%,1993
63,Brett Steven,,195.2,37.3%,63.1%,34.8%,60.0%,1993
64,Martin Damm,,194.9,31.9%,56.0%,61.5%,45.5%,1993
65,Ivan Lendl,,194.5,40.6%,60.4%,36.4%,57.1%,1993
66,Byron Black,,193.4,46.4%,58.6%,45.5%,42.9%,1993
67,Marcos Ondruska,,193.0,44.9%,59.2%,50.0%,38.9%,1993
68,Fabrice Santoro,,192.8,44.9%,56.5%,38.5%,52.9%,1993
69,Jakob Hlasek,,192.8,36.2%,59.4%,40.9%,56.3%,1993
70,Andre Agassi,,192.8,45.3%,65.8%,41.7%,40.0%,1993
71,Chuck Adams,,192.7,38.2%,59.5%,55.0%,40.0%,1993
72,Andrei Olhovskiy,,192.5,36.4%,59.3%,52.4%,44.4%,1993
73,Nicklas Kulti,,191.8,36.6%,58.5%,50.0%,46.7%,1993
74,Jonas Svensson,,191.6,43.5%,61.2%,39.1%,47.8%,1993
75,Jonathan Stark,,191.2,41.4%,61.9%,52.2%,35.7%,1993
76,Robbie Weiss,,188.9,40.1%,53.2%,55.6%,40.0%,1993
77,Carl-Uwe Steeb,,188.7,41.9%,53.5%,33.3%,60.0%,1993
78,Carlos Costa,,188.0,44.3%,59.3%,44.4%,40.0%,1993
79,David Prinosil,,187.7,38.5%,57.2%,56.3%,35.7%,1993
80,Olivier Delaitre,,186.4,39.0%,57.4%,30.0%,60.0%,1993
81,Ronald Agenor,,185.7,41.6%,58.8%,47.8%,37.5%,1993
82,Francisco Clavet,,184.7,45.1%,53.4%,33.3%,52.9%,1993
83,Marcos Aurelio Gorriz,,183.6,36.8%,58.7%,71.4%,16.7%,1993
84,Tomas Carbonell,,183.5,41.2%,60.0%,45.5%,36.8%,1993
85,Richey Reneberg,,183.5,43.7%,58.9%,40.9%,40.0%,1993
86,Jordi Burillo,,182.7,48.7%,55.5%,38.5%,40.0%,1993
87,Henrik Holm,,182.7,36.1%,59.8%,50.0%,36.8%,1993
88,Thomas Enqvist,,181.4,38.3%,56.7%,36.4%,50.0%,1993
89,Alex Antonitsch,,181.3,37.2%,66.8%,19.0%,58.3%,1993
90,Patrik Kuhnen,,181.1,40.0%,55.9%,46.7%,38.5%,1993
91,Guillaume Raoux,,178.2,41.1%,59.3%,50.0%,27.8%,1993
92,Derrick Rostagno,,176.8,38.6%,57.6%,38.9%,41.7%,1993
93,Claudio Mezzadri,,176.8,38.8%,52.5%,40.0%,45.5%,1993
94,Rodolphe Gilbert,,176.3,38.4%,60.9%,38.9%,38.1%,1993
95,Alberto Berasategui,,173.5,47.3%,62.1%,16.7%,47.4%,1993
96,Daniel Vacek,,173.4,39.2%,60.4%,43.8%,30.0%,1993
97,Kenneth Carlsen,,171.5,34.6%,56.1%,30.8%,50.0%,1993
98,Anders Jarryd,,170.5,39.0%,57.0%,20.0%,54.5%,1993
99,Alberto Mancini,,167.2,37.1%,61.9%,50.0%,18.2%,1993
100,Franco Davin,,158.2,45.9%,51.7%,37.5%,23.1%,1993
101,Diego Nargiso,,152.4,36.3%,60.6%,33.3%,22.2%,1993
102,Gabriel Markus,,143.6,37.1%,56.5%,0.0%,50.0%,1993
103,Jaime Oncins,,142.1,41.7%,55.5%,18.2%,26.7%,1993
1,Pete Sampras,,279.9,42.3%,67.6%,83.3%,86.7%,1994
2,Bernd Karbacher,,255.1,41.6%,59.8%,80.0%,73.7%,1994
3,Michael Chang,,240.5,42.9%,60.9%,73.1%,63.6%,1994
4,Luiz Mattar,,238.4,36.8%,57.0%,57.1%,87.5%,1994
5,Andrei Chesnokov,,236.3,45.2%,60.2%,68.4%,62.5%,1994
6,Boris Becker,,233.8,42.7%,66.4%,56.3%,68.4%,1994
7,Yevgeny Kafelnikov,,232.9,42.8%,62.3%,58.8%,69.0%,1994
8,Goran Ivanisevic,,232.9,35.5%,67.7%,55.8%,73.9%,1994
9,Todd Martin,,232.5,38.3%,65.3%,64.9%,64.0%,1994
10,Patrick Rafter,,231.5,35.8%,64.5%,71.9%,59.3%,1994
11,Paul Haarhuis,,231.4,41.8%,64.6%,50.0%,75.0%,1994
12,Magnus Gustafsson,,230.9,43.7%,57.5%,71.4%,58.3%,1994
13,Jakob Hlasek,,230.9,45.9%,57.4%,52.6%,75.0%,1994
14,Jacco Eltingh,,229.8,33.0%,63.9%,80.0%,52.9%,1994
15,Slava Dosedel,,228.9,47.2%,56.2%,53.3%,72.2%,1994
16,Andrei Medvedev,,227.9,43.6%,58.6%,63.2%,62.5%,1994
17,Andrea Gaudenzi,,227.2,39.2%,59.5%,56.3%,72.2%,1994
18,Richey Reneberg,,226.3,43.6%,58.8%,70.6%,53.3%,1994
19,Michael Stich,,225.8,39.4%,65.0%,50.0%,71.4%,1994
20,Wayne Ferreira,,225.3,42.4%,62.9%,48.6%,71.4%,1994
21,Alex Corretja,,225.2,41.3%,59.1%,54.2%,70.6%,1994
22,Karel Novacek,,224.3,38.3%,60.7%,58.6%,66.7%,1994
23,Fabrice Santoro,,223.3,43.5%,63.1%,66.7%,50.0%,1994
24,Bryan Shelton,,222.4,31.7%,59.3%,60.0%,71.4%,1994
25,Jonas Bjorkman,,222.4,39.3%,60.9%,61.1%,61.1%,1994
26,Thomas Muster,,222.0,44.7%,61.0%,58.6%,57.7%,1994
27,Alberto Berasategui,,221.7,47.5%,60.1%,56.0%,58.1%,1994
28,Marc Rosset,,221.2,37.4%,62.0%,64.7%,57.1%,1994
